timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 13:57:04.6989044Z","2025-11-10 13:57:04.6989044Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.1.log.gz",,,,,,,,,,1762783024698904400,8224,83886148,18446690209907927520,18446690209670888200,8792,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6989123Z","2025-11-10 13:57:04.6989123Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.1.log.gz",,,,,,,,,,1762783024698912300,,,,,,,18446714997263920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6989341Z","2025-11-10 13:57:04.6989341Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",7588,,,,,,"C:\ProgramData\Cyvera\Prevention\87927086-899b-4e17-8f47-12f6b6d7372c\Logs\event_collection.8.log.gz",,,,,,,,,,1762783024698934200,8224,83886148,18446690209907931920,18446690209874373384,7588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6989451Z","2025-11-10 13:57:04.6989451Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",7588,,,,,,"C:\ProgramData\Cyvera\Prevention\87927086-899b-4e17-8f47-12f6b6d7372c\Logs\event_collection.8.log.gz",,,,,,,,,,1762783024698945100,,,,,,,18446714997459040256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6999320Z","2025-11-10 13:57:04.6999320Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",7588,,,,,,"C:\ProgramData\Cyvera\Prevention\87927086-899b-4e17-8f47-12f6b6d7372c\Logs\event_collection.log",,,,,,,,,,1762783024699932100,8224,83886148,18446690209907928320,18446690209734104664,7588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6999409Z","2025-11-10 13:57:04.6999409Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",7588,,,,,,"C:\ProgramData\Cyvera\Prevention\87927086-899b-4e17-8f47-12f6b6d7372c\Logs\event_collection.log",,,,,,,,,,1762783024699940900,,,,,,,18446714997418694160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6999557Z","2025-11-10 13:57:04.6999557Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.2.log.gz",,,,,,,,,,1762783024699955700,8224,83886148,18446690209907946320,18446690209670888200,8792,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.6999638Z","2025-11-10 13:57:04.6999638Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.2.log.gz",,,,,,,,,,1762783024699963800,,,,,,,18446714997172278848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.7024753Z","2025-11-10 13:57:04.7024753Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.3.log.gz",,,,,,,,,,1762783024702475300,8224,83886148,18446690209788839968,18446690209670888200,8792,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.7024842Z","2025-11-10 13:57:04.7024842Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.3.log.gz",,,,,,,,,,1762783024702484300,,,,,,,18446714997435152512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.7047593Z","2025-11-10 13:57:04.7047593Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.4.log.gz",,,,,,,,,,1762783024704759300,8224,83886148,18446690209788885168,18446690209832590088,8792,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:57:04.7047711Z","2025-11-10 13:57:04.7047711Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",8792,,,,,,"C:\ProgramData\Cyvera\Prevention\96c8cbe3-bc57-44cc-b26e-f6092a601dd3\Logs\python_service.4.log.gz",,,,,,,,,,1762783024704771100,,,,,,,18446714997517526784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
