timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,viewsize,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,desiredaccess,returncode,operationstatus,targetthreadcreatetime,targetthreadid,cycletime,bytescopied,filekey,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,linksourcename,linktargetname,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess
"2025-11-10 14:18:25.4503046Z","2025-11-10 14:18:25.4503046Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 4612 SearchFilterHost.exe",1960,,," 4612 SearchFilterHost.exe",,,"C:\Windows\System32\mssprxy.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305450304600,,,,,,,,,,,140736994934784,140736994934784,156937,163840,68771275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4581339Z","2025-11-10 14:18:25.4581339Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305458133900,,18446606103144267776,18446606103144239104,140737287943264,0,231178047488,4408,231182696448,231182663680,140737287943264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4585946Z","2025-11-10 14:18:25.4585946Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 6812 SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305458594600,,18446606103144235008,18446606103144206336,140737324634384,0,231178055680,2216,231183220736,231183187968,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4622589Z","2025-11-10 14:18:25.4622589Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 6812 SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305462258900,,18446606103144333312,18446606103144304640,140737324634384,0,231178063872,9920,231183745024,231183712256,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4635917Z","2025-11-10 14:18:25.4635917Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\mssprxy.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305463591700,,,,,,,,,,,140736994934784,140736994934784,156937,163840,68771275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4646624Z","2025-11-10 14:18:25.4646624Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 4612 SearchFilterHost.exe",4932,,," 4612 SearchFilterHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305464662400,,18446606103144366080,18446606103144337408,140737324634384,0,436453826560,8436,436457701376,436457668608,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4683479Z","2025-11-10 14:18:25.4683479Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",10796,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\mssph.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305468347900,,,,,,,,,,,140736855605248,140736855605248,250015,237568,3019309855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4763854Z","2025-11-10 14:18:25.4763854Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",10796,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\authz.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305476385400,,,,,,,,,,,140737259634688,140737259634688,337180,323584,1503684093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4776865Z","2025-11-10 14:18:25.4776865Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\ntmarta.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305477686500,,,,,,,,,,,140737265074176,140737265074176,197444,208896,4265087599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4783967Z","2025-11-10 14:18:25.4783967Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305478396700,,,,,,,,,,,140737286504448,140737286504448,402188,372736,2061718160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4820411Z","2025-11-10 14:18:25.4820411Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\propsys.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305482041100,,,,,,,,,,,140737167818752,140737167818752,1053009,999424,351302805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4883469Z","2025-11-10 14:18:25.4883469Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762784305488346900,,18446606103144398848,18446606103144370176,140737305072496,0,231178072064,10904,231184269312,231184236544,140737305072496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4917215Z","2025-11-10 14:18:25.4917215Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",10904,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\Windows.StateRepositoryPS.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305491721500,,,,,,,,,,,140736899186688,140736899186688,1371933,1335296,3370718171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:18:25.4939369Z","2025-11-10 14:18:25.4939369Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 6812 SearchProtocolHost.exe",6664,,," 6812 SearchProtocolHost.exe",,,"C:\Windows\System32\shell32.dll",,,,,,,,,,,,,,,,,,,,,,,,,,1762784305493936900,,,,,,,,,,,140737294565376,140737294565376,7833200,7798784,2665716595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
