timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,bytescopied,operationstatus,viewsize,targetthreadcreatetime,targetthreadid
"2025-11-10 14:20:32.7042935Z","2025-11-10 14:20:32.7042935Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1762784432704293500,,,,140737115914240,140737115914240,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7043633Z","2025-11-10 14:20:32.7043633Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1762784432704363300,,,,140736998342656,140736998342656,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7061196Z","2025-11-10 14:20:32.7061196Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1762784432706119600,,,,140736694321152,140736694321152,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7064143Z","2025-11-10 14:20:32.7064143Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1762784432706414300,,,,140737286897664,140737286897664,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7066730Z","2025-11-10 14:20:32.7066730Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,1762784432706673000,,,,140737286504448,140737286504448,402188,372736,2061718160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7070750Z","2025-11-10 14:20:32.7070750Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",9972,,," 5760 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1762784432707075000,,,,140737035698176,140737035698176,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7072754Z","2025-11-10 14:20:32.7072754Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1762784432707275400,,,,140737141669888,140737141669888,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7074608Z","2025-11-10 14:20:32.7074608Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",9972,,," 5760 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1762784432707460900,,,,140737202880512,140737202880512,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7077712Z","2025-11-10 14:20:32.7077712Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",9972,,," 5760 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1762784432707771200,,,,140737304985600,140737304985600,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:32.7095010Z","2025-11-10 14:20:32.7095010Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1762784432709501000,,,,140737010335744,140737010335744,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
