timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,allocationtype,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,fullregionsize,lastprotectionmask,targetaddress,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-18 12:59:41.4847234Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8840 ServiceHub.ThreadedWaitDialog.exe",12768,,," 8840 ServiceHub.ThreadedWaitDialog.exe",,,,,,,,,,,,18446712763278884864,18446712763278860288,140724659042256,0,891467956224,7196,891479392256,891479388160,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:41.7064409Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3120 PerfWatson2.exe",768,,," 3120 PerfWatson2.exe",,,,,,,,,,,,18446712763278598144,18446712763278573568,140725141630640,0,870905843712,768,870904758272,870904741888,140725141630640,1276800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:42.3245315Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10256 ServiceHub.IntellicodeModelService.exe",4700,,,"10256 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,18446712763278856192,18446712763278831616,140725141630640,0,620059254784,4700,620058181632,620058165248,140725141630640,747460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:42.7367268Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 1156 SearchIndexer.exe",,,,,,,,,,,,18446712763278942208,18446712763278917632,140726305414320,0,138480119808,14436,138483335168,138483302400,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:43.7514026Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","12124 svchost.exe",10000,,,"12124 svchost.exe",,,,,,,,,,,,18446712763356667904,18446712763356643328,140726305414320,0,775381082112,10000,775383154688,775383121920,140726305414320,375440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:44.7527604Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"12124 svchost.exe",,,,,,,,,,,,18446712763279228928,18446712763279204352,140726305414320,0,775381098496,16280,775383154688,775383121920,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.3604321Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5752 VBoxTray.exe",10656,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763279945728,18446712763279921152,140696010091656,0,2809856,13276,7995392,7991296,140696010091656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.3606904Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5752 VBoxTray.exe",13276,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763279945728,18446712763279921152,140696010091656,0,2809856,13276,7995392,7987200,140696010091656,487540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.4045849Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"10892 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446712763279945728,18446712763279921152,140726305414320,0,869987966976,12580,869991972864,869991968768,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.8630181Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3428 svchost.exe",7144,,," 3428 svchost.exe",,,,,,,,,,,,18446712763275808768,18446712763275784192,140725169770912,248,783969533952,7144,783976759296,783976726528,140725169770912,451060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.8630951Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 9556 ServiceHub.IndexingService.exe",2908,,," 9556 ServiceHub.IndexingService.exe",,,,,,,,,,,,18446712763280031744,18446712763280007168,140724659042256,0,722084491264,11624,722088230912,722088226816,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.8633520Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 9556 ServiceHub.IndexingService.exe",11624,,," 9556 ServiceHub.IndexingService.exe",,,,,,,,,,,,18446712763275808768,18446712763275784192,140724659042256,0,722084499456,15652,722089803776,722089799680,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:46.9107211Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3428 svchost.exe",13812,,," 3428 svchost.exe",,,,,,,,,,,,18446712763275722752,18446712763275698176,140725169770912,248,783969525760,13812,783976235008,783976202240,140725169770912,6005520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:47.1809094Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10932 svchost.exe",8296,,,"10932 svchost.exe",,,,,,,,,,,,18446712763253805056,18446712763253780480,140726305414320,0,599864098816,8296,599865688064,599865655296,140726305414320,283100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:47.2125393Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10892 ServiceHub.Host.dotnet.x64.exe",10928,,,"10892 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446712763275722752,18446712763275698176,140724659042256,0,869987975168,3984,869993545728,869993541632,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:47.2128815Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10892 ServiceHub.Host.dotnet.x64.exe",3984,,,"10892 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446712763279802368,18446712763279777792,140724659042256,0,869987983360,3548,869999837184,869999833088,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:47.5941287Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","15152 vcpkgsrv.exe",16096,,,"15152 vcpkgsrv.exe",,,,,,,,,,,,18446712763355062272,18446712763355037696,2000249120,0,2768896,16096,112262016,112230400,2000249120,1512780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:47.7677147Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 1892 VBoxService.exe",8592,,," 1892 VBoxService.exe",,,,,,,,,,,,18446712763355062272,18446712763355037696,140726305414320,212,16654336,14136,21954560,21950464,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:48.1959386Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"10932 svchost.exe",,,,,,,,,,,,18446712763279515648,18446712763279491072,140726305414320,0,599864107008,11604,599865688064,599865655296,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:49.1984254Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 9824 OneDrive.Sync.Service.exe",6868,,," 9824 OneDrive.Sync.Service.exe",,,,,,,,,,,,18446712763280347136,18446712763280322560,140726305414320,0,81238048768,1652,81242619904,81242615808,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:49.2145890Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","11368 dllhost.exe",13448,,,"11368 dllhost.exe",,,,,,,,,,,,18446712763352739840,18446712763352715264,140726305414320,0,65530966016,13448,65532854272,65532821504,140726305414320,251180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:49.7059706Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8664 svchost.exe",8644,,," 8664 svchost.exe",,,,,,,,,,,,18446712763352969216,18446712763352944640,140726305414320,0,262286344192,8644,262283722752,262283689984,140726305414320,241300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:49.8012799Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.0576484Z","Custom","EDRi-Provider",4242,"[+] EDRi START MARKER","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.2164326Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"11368 dllhost.exe",,,,,,,,,,,,18446712763352969216,18446712763352944640,140726305414320,0,65530974208,7284,65532854272,65532821504,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.3115046Z","Custom","EDRi-Provider",4242,"[<] Before decrypting attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.3160202Z","Custom","EDRi-Provider",4242,"[>]  After decrypting attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.3595025Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 3120 PerfWatson2.exe",6200,,," 3120 PerfWatson2.exe",,,,,,,,,,,,18446712763280519168,18446712763280494592,140725141630640,0,870905868288,13992,870904758272,870904741888,140725141630640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.7072443Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 8664 svchost.exe",,,,,,,,,,,,18446712763280547840,18446712763280523264,140726305414320,0,262286352384,13896,262283722752,262283689984,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.7558947Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3428 svchost.exe",11924,,," 3428 svchost.exe",,,,,,,,,,,,18446712763275636736,18446712763275612160,140725169770912,248,783969517568,11924,783974137856,783974105088,140725169770912,208010860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.7559107Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3428 svchost.exe",16176,,," 3428 svchost.exe",,,,,,,,,,,,18446712763275579392,18446712763275554816,140725169770912,248,783969509376,16176,783973613568,783973580800,140725169770912,9999061980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:50.8195428Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","10256 ServiceHub.IntellicodeModelService.exe",10436,,,"10256 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,18446712763275579392,18446712763275554816,140725141630640,0,620059262976,1012,620058181632,620058165248,140725141630640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3288715Z","Custom","EDRi-Provider",4242,"[<] Before executing attack exe","15336 EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3797793Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",14040,,," 5572 explorer.exe",,,,,,,,,,,,18446712763275636736,18446712763275612160,140726305414320,0,4481024,6680,95813632,95756288,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3812272Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5752 VBoxTray.exe",10656,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763272708096,18446712763272683520,140696010091656,0,2818048,8816,7995392,7991296,140696010091656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3818862Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6680,,," 5572 explorer.exe",,,,,,,,,,,,18446712763280781312,18446712763280756736,140726305414320,0,4489216,3464,96337920,96280576,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3820554Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5752 VBoxTray.exe",8816,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763272708096,18446712763272683520,140696010091656,0,2818048,8816,7995392,7987200,140696010091656,1390420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.3828080Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",3464,,," 5572 explorer.exe",,,,,,,,,,,,18446712763280752640,18446712763280728064,140726305414320,0,4497408,8824,97386496,97329152,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.8702712Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3120 PerfWatson2.exe",13992,,," 3120 PerfWatson2.exe",,,,,,,,,,,,18446712763280519168,18446712763280494592,140725141630640,0,870905868288,13992,870904758272,870904741888,140725141630640,1116820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:51.9661735Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",5948,,," 5572 explorer.exe",,,,,,,,,,,,18446712763280490496,18446712763280465920,140726305414320,0,4505600,5316,98435072,98377728,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3297454Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10256 ServiceHub.IntellicodeModelService.exe",1012,,,"10256 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,18446712763275579392,18446712763275554816,140725141630640,0,620059262976,1012,620058181632,620058165248,140725141630640,903640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 12:59:52.3306242Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","15336 EDRi.exe",12172,,,"15336 EDRi.exe",,,"C:\Windows\System32\windows.storage.dll",,,,,,,,,,,,,,,,,,,140726219112448,140726219112448,8821142,8753152,83910174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
