timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,fullregionsize,lastprotectionmask,targetaddress,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-17 14:59:23.1619391Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2952 Notepad.exe",3460,,," 2952 Notepad.exe",,,,,,,,,,,,18446712763309047808,18446712763309023232,140723526634848,0,940752498688,5288,940781338624,940781334528,140723526634848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.2448294Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5752 VBoxTray.exe",10656,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763308445696,18446712763308421120,140696010091656,0,2727936,13216,10092544,10088448,140696010091656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.2450233Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5752 VBoxTray.exe",13216,,," 5752 VBoxTray.exe",,,,,,,,,,,,18446712763308445696,18446712763308421120,140696010091656,0,2727936,13216,10092544,10084352,140696010091656,521740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.3581062Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2952 Notepad.exe",3460,,," 2952 Notepad.exe",,,,,,,,,,,,18446712763309162496,18446712763309137920,140726305414320,0,940752506880,14928,940782387200,940782383104,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.3596789Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2952 Notepad.exe",3460,,," 2952 Notepad.exe",,,,,,,,,,,,18446712763309363200,18446712763309338624,140726294125616,0,940752515072,4128,940783435776,940783431680,140726294125616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.3615934Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5024 svchost.exe",10352,,," 5024 svchost.exe",,,,,,,,,,,,18446712763308875776,18446712763308851200,140726294125616,198,459629707264,10164,459635949568,459635916800,140726294125616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.0300798Z","ETW","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 3500 MsMpEng.exe",8352,,," 3500 MsMpEng.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,2731191828480,134024807948684743,3500,49,7,55,4785074604081225,134024808061109357,8352,134024807948684743,3500,49,7,55,4785074604081225,"RWX",315392,134024807948684743,49,7,55,4785074604081225,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.2400717Z","ETW","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 2952 Notepad.exe",14540,,," 2952 Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,138490192793600,134025943010659284,2952,0,2,2,4785074604090418,134025946620402590,14540,134025943010659284,2952,0,2,2,4785074604090418,"R-X",4096,134025943010659284,0,2,2,4785074604090418,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.2405652Z","ETW","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 2952 Notepad.exe",1660,,," 2952 Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,138490192728064,134025943010659284,2952,0,2,2,4785074604090418,134025945212485139,1660,134025943010659284,2952,0,2,2,4785074604090418,"R-X",4096,134025943010659284,0,2,2,4785074604090418,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-17 14:59:23.2405736Z","ETW","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM"," 2952 Notepad.exe",10036,,," 2952 Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,138490192662528,134025943010659284,2952,0,2,2,4785074604090418,134025946011029174,10036,134025943010659284,2952,0,2,2,4785074604090418,"R-X",4096,134025943010659284,0,2,2,4785074604090418,,,,,,,,,,,,,,,,,,,,,,,,,,
