timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,classification,eventtype,fileid,fileusn,info,scansource,devicename,devicenamelength,drivername,drivernamelength,desiredaccess,linksourcename,linktargetname,returncode,codeintegrityoption,imagepath,data,startstop,threadtime,engineid,startqpc,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,first resource path,first resource type,flags,id,resource count,scan source,type,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid
"2025-11-01 13:27:21.8188149Z","2025-11-01 13:27:21.8188149Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641818814900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8212007Z","2025-11-01 13:27:21.8212007Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"Behavior:Win32/ServiceRegister.B","0xE9B3CF966D87","945349171fce11832ce41c23221e9f62aabece69",,,,1762003641821200800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8216816Z","2025-11-01 13:27:21.8216816Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641821681600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8219791Z","2025-11-01 13:27:21.8219791Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641821979100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8222010Z","2025-11-01 13:27:21.8222010Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641822201000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8226898Z","2025-11-01 13:27:21.8226898Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"Behavior:Win32/ServiceBinModifier.B","0x77B398DA442F","e4ad424e258bfb94427caabef3d9acd17972e5f6",,,,1762003641822689800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8227305Z","2025-11-01 13:27:21.8227305Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"Behavior:Win32/ServiceBinModifier.gen","0xEBB3CFB24C8B","28259a5f34c26b1c66588ad348eed234cff19244",,,,1762003641822730500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8230312Z","2025-11-01 13:27:21.8230312Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 5912 MsMpEng.exe",5496,,,,,,"C:\Windows\System32\services.exe",,"0x8001",,,,,,,1762003641823031200,,,,,,,,,,,,,,,1,56,315748,3483794912,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8230604Z","2025-11-01 13:27:21.8230604Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"Behavior:Win32/ServiceBinModifierNonFriendly.B","0x8BB373922CE8","553d9d8f7128be02d131bf589d8fabc5538a1740",,,,1762003641823060400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8233049Z","2025-11-01 13:27:21.8233049Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641823304900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8235562Z","2025-11-01 13:27:21.8235562Z","ETW","Microsoft-Antimalware-Engine",59,"Message  Info "," 5912 MsMpEng.exe",5496,,,,,,,,0,"!#BMRegistrySetBinary","0x38B3DCF7DA6D","8403d34bac053b235fffe718abf560ec1e2a1941",,,,1762003641823556200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8235997Z","2025-11-01 13:27:21.8235997Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",31,"KERNEL_THREATINT_TASK_DRIVER_DEVICE ","    4 System",13172,,,,,,,,,,,,,,,1762003641823599700,,,,,,,,,,,,,,,,,,,,,"\Device\GIO",11,"\Driver\y5hzCwhA",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8236160Z","2025-11-01 13:27:21.8236160Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",3,"NtCreateSymbolicLinkObject","    4 System",13172,,,,,,,,,,,,,,,1762003641823616000,,,,,,,,,,,,,,,,,,,,,,,,,983041,"\DosDevices\GIO","\Device\GIO",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8236491Z","2025-11-01 13:27:21.8236491Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",29,"KERNEL_THREATINT_TASK_DRIVER_DEVICE ","    4 System",13172,,,,,,,,,,,,,,,1762003641823649100,,,,,,,,,,,,,,,,,,,,,,,"\Driver\y5hzCwhA",16,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8236840Z","2025-11-01 13:27:21.8236840Z","ETW","Microsoft-Antimalware-Engine",10,"Behavior Monitoring  BmDriverLoad"," 5912 MsMpEng.exe",13032,,"    0 [System Process]",,,,,,,,,,,,,1762003641823684000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-01 13:27:21.8238240Z","2025-11-01 13:27:21.8238240Z","ETW","Microsoft-Antimalware-Engine",43,"ExpensiveOperationTask ExpensiveOperationBegin"," 5912 MsMpEng.exe",5496,,,,,"VerifyIsFriendlyFile(1)","C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\gdrv.sys",,,,,,,,,1762003641823824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,55468750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
