timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,as version,av version,engine version,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,devicename,devicenamelength,drivername,drivernamelength,desiredaccess,linksourcename,linktargetname,returncode,codeintegrityoption,imagepath,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable,targetthreadcreatetime,targetthreadid,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,featureid,bytescopied,operationstatus,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,defaultbase,imagebase,imagesize,data,startstop,threadtime,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,first resource path,first resource type,id,resource count,scan source,type,startqpc,process,reason,fullregionsize,lastprotectionmask,targetaddress,channel,eventid,processimagepath,taintreason,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,featuretype,keypath,newvalue,oldvalue,usermode,valuename
"2025-11-02 11:57:57.3370874Z","2025-11-02 11:57:57.3370874Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 7536 PerfWatson2.exe",768,,," 7536 PerfWatson2.exe",,,,,,,,,,,,,18446737482474893312,18446737482474868736,140733053689584,0,243292708864,5736,1762084677337087400,243340935168,243340918784,140733053689584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:57.3824502Z","2025-11-02 11:57:57.3824502Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5264 explorer.exe",13912,,," 5264 explorer.exe",,,,,,,,,,,,,18446737482461102080,18446737482461077504,140734325496880,0,7438336,13912,1762084677382450200,123535360,123478016,140734325496880,9868600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:57.629952800Z","2025-11-02 11:57:57.6299560Z","myETW","EDRi-Provider",4242,"EDRi-Event","14856 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,1762084677629956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:57.6347089Z","2025-11-02 11:57:57.6347089Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 8620 VBoxTray.exe",8668,,," 8620 VBoxTray.exe",,,,,,,,,,,,,18446737482461102080,18446737482461077504,140694682446768,0,875074174976,3640,1762084677634708900,875076517888,875076513792,140694682446768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:57.6351002Z","2025-11-02 11:57:57.6351002Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 8620 VBoxTray.exe",3640,,," 8620 VBoxTray.exe",,,,,,,,,,,,,18446737482461102080,18446737482461077504,140694682446768,0,875074174976,3640,1762084677635100300,875076517888,875076509696,140694682446768,796860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:58.7068939Z","2025-11-02 11:57:58.7068939Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","10064 ServiceHub.IntellicodeModelService.exe",5592,,,"10064 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,,18446737482474233856,18446737482474209280,140733053136544,0,965081976832,5592,1762084678706893900,965079072768,965079056384,140733053136544,833720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:58.7378776Z","2025-11-02 11:57:58.7378776Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 7536 PerfWatson2.exe",9920,,," 7536 PerfWatson2.exe",,,,,,,,,,,,,18446737482474262528,18446737482474237952,140733053136544,0,243294760960,9920,1762084678737877600,243292241920,243292225536,140733053136544,826500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:57:59.9138098Z","2025-11-02 11:57:59.9138098Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4812 svchost.exe",7512,,," 4812 svchost.exe",,,,,,,,,,,,,18446737482525327360,18446737482525302784,140734327249856,0,681641095168,7512,1762084679913809800,681642033152,681642000384,140734327249856,821180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:58:00.3869304Z","2025-11-02 11:58:00.3869304Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4764 svchost.exe",1300,,," 4764 svchost.exe",,,,,,,,,,,,,18446737482536853504,18446737482536828928,140734327249856,0,76043780096,1300,1762084680386930400,76042272768,76042240000,140734327249856,522120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-02 11:58:00.6373246Z","2025-11-02 11:58:00.6373246Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6092 devenv.exe",7692,,," 6092 devenv.exe",,,,,,,,,,,,,18446737482536853504,18446737482536828928,140733053689584,0,283433410560,14344,1762084680637324600,281392971776,281392963584,140733053689584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
