timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 10:28:26.3315978Z","2025-10-27 10:28:26.3315978Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  676 PerfWatson2.exe",2332,,,"  676 PerfWatson2.exe",,,,,,,,,,,,18446672673141133312,18446672673141108736,140737174395840,0,238478327808,2332,238488125440,238488109056,140737174395840,2249600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:26.3316071Z","2025-10-27 10:28:26.3316071Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 9460 ServiceHub.Host.dotnet.x64.exe",3420,,," 9460 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446672673179623424,18446672673179598848,140735504070608,0,28842803200,3420,28850520064,28850466816,140735504070608,478271420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:26.3316562Z","2025-10-27 10:28:26.3316562Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 9460 ServiceHub.Host.dotnet.x64.exe",4200,,," 9460 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446672673146937344,18446672673146912768,140735504070608,0,28842827776,4200,28856811520,28856754176,140735504070608,574164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:27.724754000Z","2025-10-27 10:28:27.7247592Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:27.7727443Z","2025-10-27 10:28:27.7727443Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6108 TimelineExplorer.exe",11880,,," 6108 TimelineExplorer.exe",,,,,,,,,,,,18446672673118294016,18446672673118269440,140734582499792,0,349157187584,11880,349163749376,349163732992,140734582499792,5703800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:28.730659600Z","2025-10-27 10:28:28.7306659Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:28.7469124Z","2025-10-27 10:28:28.7469124Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  676 PerfWatson2.exe",3588,,,"  676 PerfWatson2.exe",,,,,,,,,,,,18446672673125736448,18446672673125711872,140735918530288,0,238478778368,3588,238538457088,238538440704,140735918530288,3024420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.0363610Z","2025-10-27 10:28:29.0363610Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 9888 svchost.exe",,,,,,,,,,,,18446672673125736448,18446672673125711872,140737174395840,0,84091019264,6752,84092125184,84092092416,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.2893178Z","2025-10-27 10:28:29.2893178Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  672 csrss.exe",904,,,"  672 csrss.exe",,,,,,,,,,,,18446672673105309696,18446672673105285120,140737174395840,0,600650756096,904,600648581120,600648548352,140737174395840,578740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.5922755Z","2025-10-27 10:28:29.5922755Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 2120 ApplicationFrameHost.exe",8836,,," 2120 ApplicationFrameHost.exe",,,,,,,,,,,,18446672673105309696,18446672673105285120,140737174395840,0,648259526656,9096,648258912256,648258904064,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.735395300Z","2025-10-27 10:28:29.7353993Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.740430800Z","2025-10-27 10:28:29.7404335Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7112 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:29.7994610Z","2025-10-27 10:28:29.7994610Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  804 winlogon.exe",2592,,,"  804 winlogon.exe",,,,,,,,,,,,18446672673165434880,18446672673165410304,140737174395840,0,32841875456,2592,32841203712,32841146368,140737174395840,444220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.0753726Z","2025-10-27 10:28:30.0753726Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"10320 svchost.exe",,,,,,,,,,,,18446672673165434880,18446672673165410304,140737174395840,0,516781858816,9760,516779606016,516779573248,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.2697399Z","2025-10-27 10:28:30.2697399Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8284 VBoxTray.exe",8328,,," 8284 VBoxTray.exe",,,,,,,,,,,,18446672673132400640,18446672673132376064,140694615534512,0,274297356288,1680,274300141568,274300137472,140694615534512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.2701534Z","2025-10-27 10:28:30.2701534Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8284 VBoxTray.exe",1680,,," 8284 VBoxTray.exe",,,,,,,,,,,,18446672673132400640,18446672673132376064,140694615534512,0,274297356288,1680,274300141568,274300133376,140694615534512,983060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.2968863Z","2025-10-27 10:28:30.2968863Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"  672 csrss.exe",,,,,,,,,,,,18446672673132400640,18446672673132376064,140737174395840,0,600650764288,9948,600648581120,600648548352,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 10:28:30.4881248Z","2025-10-27 10:28:30.4881248Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1228 svchost.exe",12088,,," 1228 svchost.exe",,,,,,,,,,,,18446672673165090816,18446672673165066240,140737174395840,0,204370034688,12088,204372180992,204372148224,140737174395840,284620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
