timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-10-27 07:44:01.7720787Z","2025-10-27 07:44:01.7720787Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 4224 svchost.exe",,,,,,,,,,,,,18446672673178161152,18446672673178136576,140737174395840,0,1091328061440,8548,1091329064960,1091329032192,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:01.8040581Z","2025-10-27 07:44:01.8040581Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4336 svchost.exe",11544,,," 4336 svchost.exe",,,,,,,,,,,,1512020,18446672673108385792,18446672673108361216,140737174395840,0,49239138304,11544,49239031808,49238999040,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:01.8679873Z","2025-10-27 07:44:01.8679873Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 6380 svchost.exe",,,,,,,,,,,,,18446672673108385792,18446672673108361216,140737174395840,0,1019853205504,11400,1019850653696,1019850620928,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1584640Z","2025-10-27 07:44:02.1584640Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",8948,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673178533888,18446672673178509312,140735918530288,0,238479646720,11388,238509096960,238509080576,140735918530288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1585348Z","2025-10-27 07:44:02.1585348Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",8948,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673176154112,18446672673176129536,140735917977248,0,238479654912,9668,238484193280,238484176896,140735917977248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1587639Z","2025-10-27 07:44:02.1587639Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",11388,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673176842240,18446672673176817664,140735918530288,0,238479663104,3812,238513291264,238513274880,140735918530288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1589566Z","2025-10-27 07:44:02.1589566Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",3812,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673175924736,18446672673175900160,140735918530288,0,238479671296,6636,238517485568,238517469184,140735918530288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1589713Z","2025-10-27 07:44:02.1589713Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",11388,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673176211456,18446672673176186880,140735918530288,0,238479679488,11352,238525874176,238525857792,140735918530288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.1609305Z","2025-10-27 07:44:02.1609305Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  676 PerfWatson2.exe",6252,,,"  676 PerfWatson2.exe",,,,,,,,,,,,,18446672673153744896,18446672673153720320,140735918530288,0,238479687680,12164,238530068480,238530052096,140735918530288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.4115045Z","2025-10-27 07:44:02.4115045Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"11300 audiodg.exe",,,,,,,,,,,,,18446672673154437120,18446672673154412544,140737174395840,0,415538323456,12168,415541231616,415541223424,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.4273534Z","2025-10-27 07:44:02.4273534Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 2488 svchost.exe",3856,,," 2488 svchost.exe",,,,,,,,,,,,295260,18446672673119961088,18446672673119936512,140737174395840,0,567112687616,3856,567114465280,567114432512,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.7998475Z","2025-10-27 07:44:02.7998475Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5160 SearchHost.exe",6212,,," 5160 SearchHost.exe",,,"C:\Windows\System32\Windows.Shell.ServiceHostBuilder.dll",,,,,,,,,,,,,,,,,,,140736794722304,140736794722304,142966,139264,3904637359,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.7999602Z","2025-10-27 07:44:02.7999602Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 5160 SearchHost.exe",6212,,," 5160 SearchHost.exe",,,"C:\Windows\System32\PCShellCommonProxyStub.dll",,,,,,,,,,,,,,,,,,,140736687964160,140736687964160,158528,147456,2422830691,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:02.8114640Z","2025-10-27 07:44:02.8114640Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 4336 svchost.exe",,,,,,,,,,,,,18446672673119961088,18446672673119936512,140737174395840,0,49239171072,12172,49239031808,49238999040,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:03.2911491Z","2025-10-27 07:44:03.2911491Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1176 svchost.exe",10652,,," 1176 svchost.exe",,,,,,,,,,,,328320,18446672673138462720,18446672673138438144,140737174395840,0,801881047040,10652,801878835200,801878802432,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:03.4344613Z","2025-10-27 07:44:03.4344613Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 2488 svchost.exe",,,,,,,,,,,,,18446672673138462720,18446672673138438144,140737174395840,0,567112704000,12176,567114465280,567114432512,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:03.6743256Z","2025-10-27 07:44:03.6743256Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  676 PerfWatson2.exe",9668,,,"  676 PerfWatson2.exe",,,,,,,,,,,,468540,18446672673176154112,18446672673176129536,140735917977248,0,238479654912,9668,238484193280,238484176896,140735917977248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:04.2960301Z","2025-10-27 07:44:04.2960301Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 1176 svchost.exe",,,,,,,,,,,,,18446672673154494464,18446672673154469888,140737174395840,0,801881055232,11984,801878835200,801878802432,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:04.8222595Z","2025-10-27 07:44:04.8222595Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10300 StoreDesktopExtension.exe",11516,,,"10300 StoreDesktopExtension.exe",,,,,,,,,,,,5872140,18446672673123295232,18446672673123270656,140737174395840,0,834487832576,11516,834496626688,834496610304,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:04.8222750Z","2025-10-27 07:44:04.8222750Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10300 StoreDesktopExtension.exe",3200,,,"10300 StoreDesktopExtension.exe",,,,,,,,,,,,229520,18446672673120190464,18446672673120165888,140737174395840,0,834487848960,3200,834505015296,834504998912,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:04.9339351Z","2025-10-27 07:44:04.9339351Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5944 svchost.exe",11436,,," 5944 svchost.exe",,,,,,,,,,,,337060,18446672673130135552,18446672673130110976,140737174395840,0,423775739904,11436,423778844672,423778811904,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0139044Z","2025-10-27 07:44:05.0139044Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5484 svchost.exe",11416,,," 5484 svchost.exe",,,,,,,,,,,,213940,18446672673129127936,18446672673129103360,140737174395840,0,1005082390528,11416,1005083688960,1005083656192,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0803706Z","2025-10-27 07:44:05.0803706Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",4448,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,24345460,18446672673130737664,18446672673130713088,140737174395840,0,158898327552,4448,158900158464,158900117504,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0803798Z","2025-10-27 07:44:05.0803798Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",6780,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,332120,18446672673137168384,18446672673137143808,140734687002928,0,158898376704,6780,158903304192,158903263232,140734687002928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0803869Z","2025-10-27 07:44:05.0803869Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",756,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,375927160,18446672673123868672,18446672673123844096,140737174395840,0,158898352128,756,158901731328,158901690368,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0804091Z","2025-10-27 07:44:05.0804091Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",2684,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,815860,18446672673124585472,18446672673124560896,140737174395840,0,158898368512,2684,158902779904,158902738944,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0804469Z","2025-10-27 07:44:05.0804469Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",6736,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,440800,18446672673124732928,18446672673124708352,140737174395840,0,158898384896,6736,158903828480,158903787520,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0804675Z","2025-10-27 07:44:05.0804675Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",2712,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,2691540,18446672673123438592,18446672673123414016,140736958529472,0,158898360320,2712,158902255616,158902214656,140736958529472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0804696Z","2025-10-27 07:44:05.0804696Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",6872,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,257260,18446672673123782656,18446672673123758080,140737161841328,0,158898343936,6872,158901207040,158901166080,140737161841328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0804877Z","2025-10-27 07:44:05.0804877Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",11512,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,23822580,18446672673122459648,18446672673122435072,140737174395840,0,158898335744,11512,158900682752,158900641792,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0805011Z","2025-10-27 07:44:05.0805011Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",1140,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,5234500,18446672673138720768,18446672673138696192,140737174395840,0,158898319360,1140,158899634176,158899593216,140737174395840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0805128Z","2025-10-27 07:44:05.0805128Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,,,,,,,,,,149416000,18446672673122344960,18446672673122320384,140699126272768,0,158898311168,3968,158896619520,158896578560,140699126272768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0810915Z","2025-10-27 07:44:05.0810915Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Windows\System32\backgroundTaskHost.exe",,,,,,,,,,,,,,,,,,,140699126267904,140699126267904,106013,40960,1539708003,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811092Z","2025-10-27 07:44:05.0811092Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe\SharedLibrary.dll",,,,,,,,,,,,,,,,,,,140734496636928,140734496636928,13461317,13422592,1605180014,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811157Z","2025-10-27 07:44:05.0811157Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_22508.1401.4.0_x64__8wekyb3d8bbwe\StoreExperienceHost.dll",,,,,,,,,,,,,,,,,,,140734510071808,140734510071808,0,38412288,1760652411,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811199Z","2025-10-27 07:44:05.0811199Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Program Files\WindowsApps\Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe\mrt100_app.dll",,,,,,,,,,,,,,,,,,,140734686691328,140734686691328,491795,548864,1580779188,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811385Z","2025-10-27 07:44:05.0811385Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Windows\System32\biwinrt.dll",,,,,,,,,,,,,,,,,,,140736588087296,140736588087296,428830,364544,4193424202,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811480Z","2025-10-27 07:44:05.0811480Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Windows\System32\wosc.dll",,,,,,,,,,,,,,,,,,,140736600014848,140736600014848,527458,475136,1679502317,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 07:44:05.0811608Z","2025-10-27 07:44:05.0811608Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 4200 backgroundTaskHost.exe",3968,,," 4200 backgroundTaskHost.exe",,,"C:\Windows\System32\Windows.Storage.ApplicationData.dll",,,,,,,,,,,,,,,,,,,140736600539136,140736600539136,440584,393216,3189851701,,,,,,,,,,,,,,,,,,,,,,,,
