timestamp,type,providername,eventid,task,pid,tid,exe,ppid,targetpid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,stacktrace,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,channel,desiredaccess,returncode,targetprocessid,targetthreatid,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,processid,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,id,process,reason,threadtime,data,startstop,deltacpu,deltawall,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,accessmask,washardened,featureid,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,linksourcename,linktargetname,ttid,startqpc,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt
"2025-09-02 16:09:54.7452254Z","ETW","Microsoft-Antimalware-Engine",4,"Versions Info ",1912,3012,"MsMpEng.exe",,,,,,,,,,,,,"1.435.533.0","1.435.533.0","1.1.25070.4",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402363Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402412Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402464Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402562Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.0402616Z","ETW","Microsoft-Antimalware-Engine",20,"Behavior Monitoring BmEtw",920,13536,"lsass.exe",,,,,,,,,,,,,,,,[],,,,,,,,"ThreatIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.5656541Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1672,13792,"svchost.exe",,,,,,,,,,,,,,,,[140736918206916,140736882337646,140736910267593,140736772574953,140736773217717,140736882620003,140736882628366,140736881847376,140736909646461,140736909646267,140736909643574,140736909641089,140736910206646,140736909298250,140736909422200,140736909684515,140736882311415,140736882088628,140736882092154,140736882015316,140736882081820,140736882106396,140736882102691,140736882098504,140736917358174,140736917350275,140736897083607,140736916996940],,,,,,,,,4096,3221225506,4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.5657956Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1672,13792,"svchost.exe",,,,,,,,,,,,,,,,[140736918203764,140736872731894,140736773031598,140736772575045,140736773217717,140736882620003,140736882628366,140736881847376,140736909646461,140736909646267,140736909643574,140736909641089,140736910206646,140736909298250,140736909422200,140736909684515,140736882311415,140736882088628,140736882092154,140736882015316,140736882081820,140736882106396,140736882102691,140736882098504,140736917358174,140736917350275,140736897083607,140736916996940],,,,,,,,,4096,3221225483,4294967295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7684590Z","Custom","ETW-Parser",13337,"[<] Before decrypting attack exe",19236,,"EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7695014Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFileInfo ",19236,11640,"EDRi.exe",,,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,[140736918205268,140736872716567,140736872407957,140736876551228,140736876554103,140736876555353,140736876554474,140736876556566,140735460191686,140697180822448,140697180801644,140697180865150,140697180791442,140697180873924,140736897083607,140736916996940],128,83886176,18446660010881328368,18446660011093567000,11640,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7697183Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"Info ",1912,3064,"MsMpEng.exe",,,,,,,,,,,,,,,,[140736918212548,140736872857142,140736738243895,140736738242452,140736657604428,140736657598535,140736657597146,140736658259206,140736657749938,140736657909615,140736658079503,140736897083607,140736916996940],,,,,,,,,2097151,0,1912,3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7698244Z","Custom","ETW-Parser",13337,"[>]  After decrypting attack exe",19236,,"EDRi.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7793375Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info ",1912,3064,"MsMpEng.exe",,,,,,,,,,,,,,,,[140736918203764,140736872731894,140733810479103,140733810478599,140733810481824,140733812314948,140733812313419,140733812313071,140733812312233,140733812311973,140733808799556,140733808804501,140733808797687,140733809165196,140733809160564,140733810770629,140733810768249,140733811588144,140733811577063,140733812986377,140733810626173,140733810627585,140733809435032,140733809428506,140733810647361,140733809420358,140733811789991,140733811785301,140736738242841,140736657604428,140736657598535,140736657597146,140736658259206,140736657749938,140736657909615,140736658079503,140736897083607,140736916996940],,,,,,,,,4096,0,19236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:55.7958925Z","ETW","Microsoft-Antimalware-Engine",95,"Behavior Monitoring BmFileOverwrite",1912,20192,"MsMpEng.exe",,,,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,[],,,,,,,,,,,,,33791,134013029862840836,0,33791,2,19236,0,33792,33792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.4612459Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",504,21876,"PerfWatson2.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,504,,,,5159640,18446639081601437696,18446639081601413120,140735664709408,0,264450367488,21876,264463712256,264463695872,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.4612952Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ",504,2376,"PerfWatson2.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,504,,,,151441780,18446639081593987072,18446639081593962496,140735664709408,0,264450293760,2376,264535277568,264535261184,140735664709408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-02 16:09:56.5415861Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreateInfo ",504,12996,"PerfWatson2.exe",,,,"C:\Users\hacker\AppData\Local\Microsoft\VSApplicationInsights\vstelf3e86b4023cc43f0be495508d51f588a\20250902160952_5dff9cb37ad4486ba34bc29a0695764d.trn",,,,,,,,,,,,[140736918203796,140736872933501,140736872933206,140736650074171,140736650082842,140736650106536,140736650102613,140735494842275,140735494841375,140735494812234,140735644872007,140735644703736,140735644703461,140735644876225,140735644872337,140735644703736,140735644703461,140735644703413,140735654719792,140735664821955,140735663497947,140735663204394,140735666985267,140735663599563,140735663599343,140735663599035,140735663598895,140735664346161,140735664709546,140736897083607,140736916996940],,,,,,,18446708905038513056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
