timestamp,type,provider_name,event_id,task,PID,Exe,PPID,TargetPID,Message,FilePath,Cache Name,Result,VName,SigSeq,SigSha,Command Line,First Param,Second Param,AS Version,AV Version,Engine Version,stack_trace,Data,StartStop,ThreadTime,DeltaCPU,DeltaWall,Id,Process,Reason,Classification,EventType,FileID,FileUSN,Info,ScanSource,CacheName,CreationTime,EngineId,Source,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,CommandLine,Flags,IntegrityLevel,ParentPID,ProcessContextId,FeatureId,FirstParam,SecondParam,AccessMask,WasHardened,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,records,result,vault,TTID,StartQPC,TaintReason,Channel,EventId
"2025-08-31 13:43:37.0942070Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0944345Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0945897Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0948076Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0949848Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0957899Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0960244Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.0962209Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.1165029Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-31 13:43:37.1227408Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,"MsMpEng.exe",,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
