timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 18:40:52.328219500Z","2025-10-27 18:40:52.3282203Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"  924 explorer.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:40:52.328238100Z","2025-10-27 18:40:52.3282388Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"  924 explorer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:40:58.3920479Z","2025-10-27 18:40:58.3920479Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 5812 svchost.exe",,,,,,,,,,,,18446692455378096128,18446692455378071552,140721973582784,0,831421263872,10984,831422726144,831422693376,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:40:59.6056856Z","2025-10-27 18:40:59.6056856Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8880 ServiceHub.IntellicodeModelService.exe",6156,,," 8880 ServiceHub.IntellicodeModelService.exe",,,,,,,,,,,,18446692455377666048,18446692455377641472,140720715525792,0,88620138496,6156,88625905664,88625889280,140720715525792,938600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:00.1990089Z","2025-10-27 18:41:00.1990089Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8308 VBoxTray.exe",8352,,," 8308 VBoxTray.exe",,,,,,,,,,,,18446692455378296832,18446692455378272256,140699742088112,0,161511235584,4612,161514258432,161514254336,140699742088112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:00.1993754Z","2025-10-27 18:41:00.1993754Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8308 VBoxTray.exe",4612,,," 8308 VBoxTray.exe",,,,,,,,,,,,18446692455378296832,18446692455378272256,140699742088112,0,161511235584,4612,161514258432,161514250240,140699742088112,558980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:00.3374946Z","2025-10-27 18:41:00.3374946Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7268 ServiceHub.Host.dotnet.x64.exe",4760,,," 7268 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446692455369453568,18446692455369428992,140720260069328,0,270478508032,4760,270481752064,270481743872,140720260069328,1815640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:00.3375494Z","2025-10-27 18:41:00.3375494Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7268 ServiceHub.Host.dotnet.x64.exe",11332,,," 7268 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,18446692455369596928,18446692455369572352,140720260069328,0,270478516224,11332,270483324928,270483316736,140720260069328,1115300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:01.1038792Z","2025-10-27 18:41:01.1038792Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3136 svchost.exe",3272,,," 3136 svchost.exe",,,,,,,,,,,,18446692455376662528,18446692455376637952,140720843215264,249,541937594368,3272,541944446976,541944414208,140720843215264,73495800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:02.4158961Z","2025-10-27 18:41:02.4158961Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1476 svchost.exe",9640,,," 1476 svchost.exe",,,,,,,,,,,,18446692455339491328,18446692455339466752,140721973582784,0,273184153600,9640,273186553856,273186521088,140721973582784,447640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
