timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,lastprotectionmask,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,cycletime
"2025-11-10 14:20:32.818328700Z","2025-11-10 14:20:32.8183326Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 5760 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,1762784432818332600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:37.6777472Z","2025-11-10 14:20:37.6777472Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",11196,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762784437677747200,128,83886112,18446690209850536688,18446690209905337256,11196,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:37.6777550Z","2025-11-10 14:20:37.6777550Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",11196,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,1762784437677755000,,,,,,,18446714997175473936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.833547000Z","2025-11-10 14:20:43.8335519Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 5760 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\admin\Desktop\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,1762784443833551900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.843364700Z","2025-11-10 14:20:43.8433679Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 5760 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,1762784443843367900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.8896177Z","2025-11-10 14:20:43.8896177Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",9960,,,,,,"C:\ProgramData\Cyvera\Prevention\25fd19be-99c8-4b16-a236-c3d9bdf7e4f7",,,,,,,,,,1762784443889617700,128,35668001,18446690209798437344,18446690209760897800,9960,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.8896288Z","2025-11-10 14:20:43.8896288Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",9960,,,,,,"C:\ProgramData\Cyvera\Prevention\25fd19be-99c8-4b16-a236-c3d9bdf7e4f7",,,,,,,,,,1762784443889628800,,,,,,,18446714997330104688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.8923307Z","2025-11-10 14:20:43.8923307Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",4760,,,,,,"C:\ProgramData\Cyvera\Everyone\Temp\25fd19be-99c8-4b16-a236-c3d9bdf7e4f7.xml",,,,,,,,,,1762784443892330700,128,84017248,18446690209798437344,18446690209763402664,4760,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.8923442Z","2025-11-10 14:20:43.8923442Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",4760,,,,,,"C:\ProgramData\Cyvera\Everyone\Temp\25fd19be-99c8-4b16-a236-c3d9bdf7e4f7.xml",,,,,,,,,,1762784443892344200,,,,,,,18446714997237557168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:43.8927142Z","2025-11-10 14:20:43.8927142Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",9960,,,,,,"C:\ProgramData\Cyvera\Prevention\25fd19be-99c8-4b16-a236-c3d9bdf7e4f7\Logs",,,,,,,,,,1762784443892714200,128,35668001,18446690209798453344,18446690209762614024,9960,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
