timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,bytescopied,operationstatus,defaultbase,imagebase,imagesize,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,desiredaccess,returncode,targetthreadcreatetime,targetthreadid
"2025-11-10 13:56:35.262346200Z","2025-11-10 13:56:35.2623491Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 7716 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,1762782995262349100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:35.3187121Z","2025-11-10 13:56:35.3187121Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6464 explorer.exe",2004,,," 6464 explorer.exe",,,,,,,,,,,,,18446606103135584256,18446606103135555584,140737324634384,0,13959168,6660,1762782995318712100,438173696,438116352,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:36.6625880Z","2025-11-10 13:56:36.6625880Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 1432 svchost.exe",5020,,," 1432 svchost.exe",,,,,,,,,,,,,18446606103106093056,18446606103106064384,140737324634384,0,1063825620992,5020,1762782996662588000,1063830683648,1063830650880,140737324634384,1884931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:36.6626180Z","2025-11-10 13:56:36.6626180Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 2016 svchost.exe",6440,,," 2016 svchost.exe",,,,,,,,,,,,,18446606103134142464,18446606103134113792,140737324634384,0,36001710080,6440,1762782996662618000,36007051264,36007018496,140737324634384,312299601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:36.6628474Z","2025-11-10 13:56:36.6628474Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3804 svchost.exe",9928,,," 3804 svchost.exe",,,,,,,,,,,,,18446606103153311744,18446606103153283072,140737324634384,0,103226851328,9928,1762782996662847400,103229161472,103229095936,140737324634384,245586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:36.6629563Z","2025-11-10 13:56:36.6629563Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 8804 RuntimeBroker.exe",3684,,," 8804 RuntimeBroker.exe",,,,,,,,,,,,,18446606103106748416,18446606103106719744,140737324634384,0,364314796032,3684,1762782996662956300,364320915456,364320866304,140737324634384,2461782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:37.8812966Z","2025-11-10 13:56:37.8812966Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 4016 svchost.exe",,,,,,,,,,,,,18446606103137714176,18446606103137685504,140737324634384,0,966867451904,6444,1762782997881296600,966873055232,966873022464,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.1001515Z","2025-11-10 13:56:38.1001515Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","  424 WmiPrvSE.exe",10944,,,"  424 WmiPrvSE.exe",,,,,,,,,,,,,18446606103144824832,18446606103144796160,140737324634384,0,684407881728,10944,1762782998100151500,684414992384,684414926848,140737324634384,73994692612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.1315716Z","2025-11-10 13:56:38.1315716Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","11216 cortex-xdr-payload.exe",3984,,,"11216 cortex-xdr-payload.exe",,,,,,,,,,,,,18446606103144824832,18446606103144796160,140736168151468,0,381917036544,9720,1762782998131571600,381930831872,381930766336,140736168151468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.1338099Z","2025-11-10 13:56:38.1338099Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop ","11216 cortex-xdr-payload.exe",9720,,,"11216 cortex-xdr-payload.exe",,,,,,,,,,,,,18446606103144824832,18446606103144796160,140736168151468,0,381917036544,9720,1762782998133809900,381930831872,381930766336,140736168151468,542248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.6652317Z","2025-11-10 13:56:38.6652317Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2016 svchost.exe",3768,,," 2016 svchost.exe",,,,,,,,,,,,,18446606103144824832,18446606103144796160,140737324634384,57,36001759232,9428,1762782998665231700,36007051264,36007018496,140737324634384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.7487499Z","2025-11-10 13:56:38.7487499Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 2972 cyserver.exe",8940,,," 2972 cyserver.exe",,,,,,,,,,,,,18446606103152689152,18446606103152660480,140737045164464,38,745075937280,8940,1762782998748749900,743037730816,743037722624,140737045164464,260768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 13:56:38.7488840Z","2025-11-10 13:56:38.7488840Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2972 cyserver.exe",6692,,," 2972 cyserver.exe",,,,,,,,,,,,,18446606103152689152,18446606103152660480,140737045164464,38,745076051968,4392,1762782998748884000,743037730816,743037726720,140737045164464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
