timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,lastprotectionmask,viewsize
"2025-12-15 10:51:38.6279140Z","ETW","0","0","2025-12-15 10:51:38.6279140Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765795898627914000,,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6279771Z","ETW","0","0","2025-12-15 10:51:38.6279771Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765795898627977100,,,,,140724959117312,140724959117312,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6280304Z","ETW","0","0","2025-12-15 10:51:38.6280304Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765795898628030400,,,,,140725393424384,140725393424384,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6280748Z","ETW","0","0","2025-12-15 10:51:38.6280748Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765795898628074800,,,,,140725395062784,140725395062784,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6282166Z","ETW","0","0","2025-12-15 10:51:38.6282166Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765795898628216600,,,,,140725470887936,140725470887936,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6282831Z","ETW","0","0","2025-12-15 10:51:38.6282831Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765795898628283100,,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6300004Z","ETW","0","0","2025-12-15 10:51:38.6300004Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765795898630000400,,,,,140724961017856,140724961017856,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6302630Z","ETW","0","0","2025-12-15 10:51:38.6302630Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765795898630263000,,,,,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6307493Z","ETW","0","0","2025-12-15 10:51:38.6307493Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",7652,,,"  112 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765795898630749300,,,,,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6310807Z","ETW","0","0","2025-12-15 10:51:38.6310807Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  112 EDRi.exe",3504,,,"  112 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1765795898631080700,,,,,140725562441728,140725562441728,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
