timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,allocationtype,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,linksourcename,linktargetname,devicename,devicenamelength,drivername,drivernamelength
"2025-12-15 10:49:29.7900910Z","ETW","0","0","2025-12-15 10:49:29.7900910Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765795769790091000,,,,140725393555456,140725393555456,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7961520Z","ETW","0","0","2025-12-15 10:49:29.7961520Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765795769796152000,,,,140725006958592,140725006958592,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7965854Z","ETW","0","0","2025-12-15 10:49:29.7965854Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765795769796585400,,,,140725709307904,140725709307904,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7973402Z","ETW","0","0","2025-12-15 10:49:29.7973402Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765795769797340200,,,,140725391458304,140725391458304,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7975003Z","ETW","1","0","2025-12-15 10:49:29.7975003Z","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  404 EDRi.exe",5132,,,"  404 EDRi.exe",,,,,,,,,,,,,18446729281135050752,18446729281135022080,140725747044624,0,614990405632,1252,1765795769797500300,615003455488,615003451392,140725747044624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7981935Z","ETW","0","0","2025-12-15 10:49:29.7981935Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",5132,,,"  404 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1765795769798193500,,,,140725618278400,140725618278400,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7982222Z","ETW","0","0","2025-12-15 10:49:29.7982222Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7996,,,"  404 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1765795769798222200,,,,140725562441728,140725562441728,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.7986337Z","ETW","0","0","2025-12-15 10:49:29.7986337Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7996,,,"  404 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765795769798633800,,,,140725710028800,140725710028800,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.8007346Z","ETW","0","0","2025-12-15 10:49:29.8007346Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765795769800734600,,,,140725395062784,140725395062784,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:49:29.8015603Z","ETW","0","0","2025-12-15 10:49:29.8015603Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info ","  404 EDRi.exe",7044,,,"  404 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765795769801560400,,,,140725470887936,140725470887936,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
