timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize
"2025-12-15 10:58:21.7138055Z","ETW","1","0","2025-12-15 10:58:21.7138055Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 7536 <not found>",3968,,," 7536 <not found>",,,,,,,,,,,,,1765796301713805500,,,,,,333016,18446729281145831424,18446729281145802752,140725747044624,0,668008919040,3968,668011069440,668011036672,140725747044624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142028Z","ETW","0","0","2025-12-15 10:58:21.7142028Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\dllhost.exe",,,,,,,,,,1765796301714202800,140696176689152,140696176689152,54074,36864,1603640900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142129Z","ETW","0","0","2025-12-15 10:58:21.7142129Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\propsys.dll",,,,,,,,,,1765796301714212900,140725640364032,140725640364032,1053009,999424,351302805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142214Z","ETW","0","0","2025-12-15 10:58:21.7142214Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\uxtheme.dll",,,,,,,,,,1765796301714221400,140725661794304,140725661794304,640454,647168,3697381598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142320Z","ETW","0","0","2025-12-15 10:58:21.7142320Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\kernel.appcore.dll",,,,,,,,,,1765796301714232000,140725666971648,140725666971648,122143,73728,1990571354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142404Z","ETW","0","0","2025-12-15 10:58:21.7142404Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\bcrypt.dll",,,,,,,,,,1765796301714240500,140725702033408,140725702033408,171668,159744,2220160889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142499Z","ETW","0","0","2025-12-15 10:58:21.7142499Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\bcryptprimitives.dll",,,,,,,,,,1765796301714249900,140725702230016,140725702230016,531569,532480,3309379821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142590Z","ETW","0","0","2025-12-15 10:58:21.7142590Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\msvcp_win.dll",,,,,,,,,,1765796301714259000,140725702819840,140725702819840,659111,643072,958749903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142675Z","ETW","0","0","2025-12-15 10:58:21.7142675Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,1765796301714267500,140725704523776,140725704523776,1076532,1048576,2177850761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:58:21.7142769Z","ETW","0","0","2025-12-15 10:58:21.7142769Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7536 <not found>",3968,,," 7536 <not found>",,,"C:\Windows\System32\gdi32full.dll",,,,,,,,,,1765796301714276900,140725707538432,140725707538432,1167211,1150976,1288019395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
