timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,timestamp_ns,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,devicename,devicenamelength,drivername,drivernamelength,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,action,key,vault,desiredaccess,returncode,id,process,reason,threadtime,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,featureid,accessmask,washardened,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,operationstatus,targetthreadcreatetime,targetthreadid,classification,eventtype,fileid,fileusn,info,scansource,data,startstop,deltacpu,deltawall,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,bytescopied,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,channel,eventid,first resource path,first resource type,resource count,scan source,type,startqpc,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable,count,terminationtime,featuretype,keypath,newvalue,oldvalue,usermode,valuename
"2025-12-16 17:30:37.0138817Z","ETW","0","0","2025-12-16 17:30:37.0138817Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,140713373270016,140713373270016,102410,86016,1260445496,1765906237013881700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0153019Z","ETW","0","0","2025-12-16 17:30:37.0153019Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,140712162033664,140712162033664,1686385,1638400,2069969302,1765906237015301900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0154483Z","ETW","0","0","2025-12-16 17:30:37.0154483Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,140713724674048,140713724674048,1041502,1003520,4109641684,1765906237015448300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0156165Z","ETW","0","0","2025-12-16 17:30:37.0156165Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,140713724149760,140713724149760,111648,40960,4223476491,1765906237015616500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0160566Z","ETW","0","0","2025-12-16 17:30:37.0160566Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",6012,,," 3584 EDRi.exe",,,"C:\Windows\System32\ntmarta.dll",,,,,,,,,,140713672048640,140713672048640,265798,221184,3598506564,1765906237016056600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0163347Z","ETW","0","0","2025-12-16 17:30:37.0163347Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8320,,," 3584 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,140713133801472,140713133801472,195802,172032,791399748,1765906237016334700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0164163Z","ETW","0","0","2025-12-16 17:30:37.0164163Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",3320,,," 3584 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,140713507028992,140713507028992,397383,352256,3789010626,1765906237016416300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0165062Z","ETW","0","0","2025-12-16 17:30:37.0165062Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,140713604481024,140713604481024,334932,311296,3664508198,1765906237016506200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0175736Z","ETW","0","0","2025-12-16 17:30:37.0175736Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",8952,,," 3584 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,140713373270016,140713373270016,102410,73728,1260445496,1765906237017573600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-16 17:30:37.0181807Z","ETW","0","0","2025-12-16 17:30:37.0181807Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 3584 EDRi.exe",3320,,," 3584 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,140713508798464,140713508798464,555527,499712,2497221210,1765906237018180700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
