timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,saddr,seqnum,size,sport,desiredaccess,returncode,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask
"2025-12-15 14:34:23.6384542Z","ETW","0","0","2025-12-15 14:34:23.6384542Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,1765809263638454200,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6385160Z","ETW","0","0","2025-12-15 14:34:23.6385160Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,1765809263638516000,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6407771Z","ETW","0","0","2025-12-15 14:34:23.6407771Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,1765809263640777100,140729206833152,140729206833152,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6410901Z","ETW","0","0","2025-12-15 14:34:23.6410901Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765809263641090100,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6417460Z","ETW","0","0","2025-12-15 14:34:23.6417460Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765809263641746000,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6419153Z","ETW","1","0","2025-12-15 14:34:23.6419153Z","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 7740 EDRi.exe",8184,,," 7740 EDRi.exe",,,,,,,,,,,,,1765809263641915300,,,,,,18446684154596982784,18446684154596954112,140729808179472,0,633781190656,3028,633793937408,633793933312,140729808179472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6420609Z","ETW","0","0","2025-12-15 14:34:23.6420609Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",9040,,," 7740 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765809263642060900,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6424090Z","ETW","0","0","2025-12-15 14:34:23.6424090Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,1765809263642409000,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6426824Z","ETW","0","0","2025-12-15 14:34:23.6426824Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,1765809263642682400,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:34:23.6445608Z","ETW","0","0","2025-12-15 14:34:23.6445608Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 7740 EDRi.exe",8656,,," 7740 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,1765809263644560800,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
