timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,viewsize,lastprotectionmask
"2025-12-15 14:11:35.7043087Z","ETW","0","0","2025-12-15 14:11:35.7043087Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765807895704308700,,,,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7043754Z","ETW","0","0","2025-12-15 14:11:35.7043754Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765807895704375400,,,,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7066066Z","ETW","0","0","2025-12-15 14:11:35.7066066Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1765807895706606600,,,,140729316212736,140729316212736,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7069111Z","ETW","0","0","2025-12-15 14:11:35.7069111Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1765807895706911100,,,,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7074296Z","ETW","0","0","2025-12-15 14:11:35.7074296Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,,,,,,,1765807895707429600,,,,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7079681Z","ETW","0","0","2025-12-15 14:11:35.7079681Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,,,,,,,1765807895707968100,,,,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7081130Z","ETW","0","0","2025-12-15 14:11:35.7081130Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",8332,,," 2228 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1765807895708113000,,,,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7084360Z","ETW","0","0","2025-12-15 14:11:35.7084360Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",5468,,," 2228 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1765807895708436000,,,,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7102446Z","ETW","0","0","2025-12-15 14:11:35.7102446Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1765807895710244700,,,,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7108068Z","ETW","0","0","2025-12-15 14:11:35.7108068Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1765807895710806800,,,,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7156834Z","ETW","0","0","2025-12-15 14:11:35.7156834Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1765807895715683400,,,,140729453576192,140729453576192,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:11:35.7180576Z","ETW","0","0","2025-12-15 14:11:35.7180576Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 2228 EDRi.exe",2104,,," 2228 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1765807895718057600,,,,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
