timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,timestamp_ns,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,id,process,reason,threadtime,action,key,vault,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,attrid,attrseq,attrsubset,featureid,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,data,startstop,deltacpu,deltawall,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,accessmask,washardened,createtime,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,eventid,featuretype,keypath,newvalue,oldvalue,usermode,valuename,operationstatus,targetthreadcreatetime,targetthreadid,bytescopied,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,first resource path,first resource type,resource count,scan source,type,startqpc,channel,count,terminationtime,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable,oldfilename,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-30 13:13:52.5720940Z","ETW","0","0","2025-11-30 13:13:52.5720940Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",11144,,," 5944 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,140735659048960,140735659048960,1029623,991232,2858041650,1764508432572094000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5722604Z","ETW","0","0","2025-11-30 13:13:52.5722604Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",11144,,," 5944 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,140735664291840,140735664291840,111648,40960,4223476491,1764508432572260400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5726883Z","ETW","1","0","2025-11-30 13:13:52.5726883Z","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",104,,," 4864 svchost.exe",,,,,,,,,,,,,,,,,,1764508432572688300,18446707819365658624,18446707819365634048,140735665101760,0,574605631488,10288,574608113664,574608080896,140735665101760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5727497Z","ETW","0","0","2025-11-30 13:13:52.5727497Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",12240,,," 5944 EDRi.exe",,,"C:\Windows\System32\ntmarta.dll",,,,,,,,,,140735597707264,140735597707264,265798,221184,3598506564,1764508432572749700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5729578Z","ETW","0","0","2025-11-30 13:13:52.5729578Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",12400,,," 5944 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,140735073091584,140735073091584,195802,172032,791399748,1764508432572957800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5731202Z","ETW","0","0","2025-11-30 13:13:52.5731202Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",11144,,," 5944 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,140735408111616,140735408111616,357709,352256,2475966880,1764508432573120200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5731958Z","ETW","0","0","2025-11-30 13:13:52.5731958Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",6640,,," 5944 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,140735530074112,140735530074112,361437,339968,1592794036,1764508432573195800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5743300Z","ETW","0","0","2025-11-30 13:13:52.5743300Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",11144,,," 5944 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,140735328878592,140735328878592,102410,73728,1260445496,1764508432574330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5749030Z","ETW","0","0","2025-11-30 13:13:52.5749030Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",12240,,," 5944 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,140735431442432,140735431442432,555527,499712,2497221210,1764508432574903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-30 13:13:52.5775342Z","ETW","0","0","2025-11-30 13:13:52.5775342Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5944 EDRi.exe",11144,,," 5944 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,140735308365824,140735308365824,123889,86016,3824705497,1764508432577534200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
