timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,allocationtype,startqpc,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,accessmask,washardened,devicename,devicenamelength,drivername,drivernamelength,actionstatus,allsigseqs,allsigshas,classification,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scansource,scantype,sha1,sha256,threatname,vpath,imagepath,codeintegrityoption,desiredaccess,linksourcename,linktargetname,returncode,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,detectionname,cloudresponse,records,vault,eventtype,fileid,fileusn,info,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,featureid,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,process,reason,channel,eventid,processimagepath,taintreason,scanreason,guid,signatureid,scanresult,level,stopreason,triggersigseq
"2025-11-03 08:16:05.0750719Z","2025-11-03 08:16:05.0750719Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","  220 EDRi.exe",4080,,,"    4 System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765075071900,,18446603390471278592,18446603390471249920,18446735283325756624,0,0,6936,0,0,18446735283325756624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.0754726Z","2025-11-03 08:16:05.0754726Z","ETW","Microsoft-Antimalware-Engine",4,"Versions  Info "," 5824 MsMpEng.exe",7944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765075472600,,,,,,,,,,,"1.439.648.0","1.439.648.0","1.1.25090.3001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.0766593Z","2025-11-03 08:16:05.0766593Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info ","    4 System",6936,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765076659300,,,,,,,,,,,,,,128,83886112,18446614399718654912,18446614399680949000,6936,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.0766690Z","2025-11-03 08:16:05.0766690Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info ","    4 System",6936,,,,,,"C:\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEDRi-Misc.etl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765076669000,,,,,,,,,,,,,,,,,,,,18446631986286761920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.2329667Z","2025-11-03 08:16:05.2329667Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 1880 svchost.exe",2936,,," 1880 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765232966700,156426,18446603390452137984,18446603390452109312,140716128325904,0,1044441694208,2936,1044444610560,1044444545024,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.2330456Z","2025-11-03 08:16:05.2330456Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5816 svchost.exe",5768,,," 5816 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765233045600,643134,18446603390459215872,18446603390459187200,140716128325904,0,278533865472,5768,278543728640,278543695872,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.2330479Z","2025-11-03 08:16:05.2330479Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5816 svchost.exe",6160,,," 5816 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765233047900,7396508,18446603390458396672,18446603390458368000,140716128325904,0,278533849088,6160,278537437184,278537404416,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.7063697Z","2025-11-03 08:16:05.7063697Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2736 svchost.exe",7392,,," 2736 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765706369700,,18446603390458396672,18446603390458368000,140715839182784,242,615602225152,5472,615610056704,615610023936,140715839182784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.7308524Z","2025-11-03 08:16:05.7308524Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2736 svchost.exe",7392,,," 2736 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765730852400,,18446603390452137984,18446603390452109312,140715839182784,242,615602233344,4672,615615823872,615615791104,140715839182784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:05.7322596Z","2025-11-03 08:16:05.7322596Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 2736 svchost.exe",5472,,," 2736 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157765732259600,,18446603390471311360,18446603390471282688,140715839182784,242,615602241536,6808,615616872448,615616839680,140715839182784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:06.2328651Z","2025-11-03 08:16:06.2328651Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",36,,," 5816 svchost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157766232865100,,18446603390471409664,18446603390471380992,140716128325904,0,278533873664,6752,278536388608,278536355840,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:06.2386941Z","2025-11-03 08:16:06.2386941Z","ETW","Microsoft-Antimalware-Engine",1,"Scan request  Start "," 5824 MsMpEng.exe",4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157766238694100,,,,,,,,,,,,,,,,,,,,,140715229315072,"C:\Windows\System32\NeacSafe64.inf","file","0x10000004",114,5,26,2812500,"Ôo˘ﬁ›$NüŒbÍ§é∂UResource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:16:06.2397515Z","2025-11-03 08:16:06.2397515Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM "," 5824 MsMpEng.exe",4968,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619277447168,134055732271607885,5824,49,8,55,4222124650672877,134066313399194421,4968,,134055732271607885,5824,49,8,55,4222124650672877,"RWX",1101824,134055732271607885,49,8,55,4222124650672877,1762157766239751500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
