timestamp,type,provider_name,event_id,task,PID,TID,Exe,PPID,TargetPID,task,Message,FilePath,Cache Name,Result,VName,SigSeq,SigSha,Command Line,First Param,Second Param,AS Version,AV Version,Engine Version,stack_trace,BiggestOffsetWritten,CreationTime,FirstOffsetWritten,LastOffsetWritten,NumberOfWrites,ProcessId,SmallestOffsetWritten,TotalSizeOfAppends,TotalSizeOfWrites,Id,Process,Reason,ThreadTime,Classification,EventType,FileID,FileUSN,Info,ScanSource,CacheName,EngineId,Source,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,CommandLine,Flags,IntegrityLevel,ProcessContextId,AccessMask,WasHardened,FeatureId,FirstParam,SecondParam,Data,StartStop,DeltaCPU,DeltaWall,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,TTID,StartQPC,ProcessImagePath,TaintReason,Channel,EventId
"2025-09-01 14:45:32.5148509Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5158208Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5161270Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5163024Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5164500Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5167531Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5169251Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5178252Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5181111Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5182911Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5436050Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5499108Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5501488Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5514407Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,9492,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5516545Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,9492,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5521045Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5522526Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5528577Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.5530222Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,14952,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/LolBinInj.D","0x15B3C1BE95E1","3248011e0b8bf539a4f9aae0cccb1bd0dc6f0bde",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.6666142Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,11040,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.6898886Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,3012,"MsMpEng.exe",,,"Message Info ",,,,0,"Behavior:Win32/NonStdSvchostProcess.A","0x19B3378537B0","a46a2542652cb8bc637538e84e4072ba74767f54",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.8049005Z","ETW","Microsoft-Antimalware-Engine",5,"Stream scan request Start ",0,14952,"<not found>",,,"Stream scan request Start ",,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,[],,,,,,,,,,3697825996,"pid:NA",16,1093750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.8346498Z","ETW","Microsoft-Antimalware-Engine",6,"Stream scan request Stop ",0,14952,"<not found>",,,"Stream scan request Stop ",,"C:\Users\Public\Downloads\attack.exe",,,,,,,,,,,,[],,,,,,,,,,3697825996,"pid:NA",16,1406250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.8401920Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,2196,"MsMpEng.exe",,,"Cache MOACLookup",,"C:\Users\Public\Downloads\attack.exe",,"0x8002",,,,,,,,,,[],,,,,,,,,,,,,,1,56,624455,1955153312,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.8403815Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,2196,"MsMpEng.exe",,,"Cache MOACLookup",,"C:\Users\Public\Downloads\attack.exe",,"0x8002",,,,,,,,,,[],,,,,,,,,,,,,,2,56,624455,1955153312,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 14:45:32.8405617Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,2196,"MsMpEng.exe",,,"Cache MOACLookup",,"C:\Users\Public\Downloads\attack.exe",,"0x8002",,,,,,,,,,[],,,,,,,,,,,,,,128,56,624455,1955153312,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
