timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,task_name,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-09-20 12:59:33.0141074Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763357786112,18446712763357761536,140726294125616,0,4210688,5880,95485952,95428608,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.0708904Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",8808,,," 5572 explorer.exe",,,,,,,,,,,,18446712763321200640,18446712763321176064,140726305414320,0,4218880,10004,101122048,101064704,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.0726015Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261464576,18446712763261440000,140726294125616,0,4227072,16812,101646336,101588992,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.0756559Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",9836,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261706240,18446712763261681664,140726305414320,0,4235264,13252,102170624,102113280,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.0928021Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6092,,," 5572 explorer.exe",,,,,,,,,,,,18446712763368714240,18446712763368689664,140726294125616,0,4259840,13828,115474432,115417088,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.1194389Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261878272,18446712763261853696,140726294125616,0,4268032,8760,116523008,116465664,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.1318216Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5572 explorer.exe",17224,,," 5572 explorer.exe",,,,,,,,,,,,18446712763349958656,18446712763349934080,140726294125616,0,4202496,17224,94437376,94380032,140726294125616,11824840,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.1322269Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5572 explorer.exe",5744,,," 5572 explorer.exe",,,,,,,,,,,,18446712763259482112,18446712763259457536,140726294125616,0,6283264,5744,89653248,89595904,140726294125616,12995240,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.2313903Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5908 svchost.exe",17932,,," 5908 svchost.exe",,,,,,,,,,,,18446712763357843456,18446712763357818880,140726305414320,0,123898568704,17932,123901313024,123901280256,140726305414320,127081120,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.2314269Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5908 svchost.exe",14480,,," 5908 svchost.exe",,,,,,,,,,,,18446712763363807232,18446712763363782656,140726305414320,0,123898560512,14480,123900788736,123900755968,140726305414320,32948280,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.3102113Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6036 svchost.exe",1792,,," 6036 svchost.exe",,,,,,,,,,,,18446712763327836160,18446712763327811584,140726305414320,0,789636190208,1792,789637496832,789637464064,140726305414320,1429560,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.3102934Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6036 svchost.exe",10548,,," 6036 svchost.exe",,,,,,,,,,,,18446712763327664128,18446712763327639552,140726305414320,0,789636198400,10548,789638021120,789637988352,140726305414320,4391280,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.3103811Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5996 CrossDeviceResume.exe",7616,,," 5996 CrossDeviceResume.exe",,,,,,,,,,,,18446712763362086912,18446712763362062336,140726305414320,0,916177903616,7616,916181745664,916181737472,140726305414320,1781440,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6756048Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",15056,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763354603520,18446712763354578944,140726305414320,0,321031159808,15056,321049853952,321049833472,140726305414320,40047440,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6758899Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",2844,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763356774400,18446712763356749824,140726305414320,0,321031192576,2844,321055096832,321055064064,140726305414320,29257720,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6760992Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",15840,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763354689536,18446712763354664960,140726305414320,0,321031127040,15840,321042513920,321042481152,140726305414320,36835300,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6763192Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",16708,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763355521024,18446712763355496448,140726305414320,0,321031135232,16708,321045659648,321045643264,140726305414320,36384620,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6764819Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",9820,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763355664384,18446712763355639808,140726305414320,0,321031168000,9820,321050902528,321050869760,140726305414320,30795960,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6766783Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",11048,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763357298688,18446712763357274112,140726305414320,0,321031200768,11048,321056145408,321056124928,140726305414320,13144200,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.6768394Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",964,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763355979776,18446712763355955200,140726305414320,0,321031143424,964,321046708224,321046691840,140726305414320,24736100,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7227625Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",5972,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763342561280,18446712763342536704,140726305414320,0,689038229504,5972,689042358272,689042333696,140726305414320,108919400,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7230007Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",17936,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763353542656,18446712763353518080,140726305414320,0,689038270464,17936,689046552576,689046536192,140726305414320,3831540,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7230704Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",16636,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763357384704,18446712763357360128,140726305414320,0,689038368768,16636,689064378368,689064361984,140726305414320,4515920,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.7231959Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6328 StartMenuExperienceHost.exe",4364,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763354374144,18446712763354349568,140726305414320,0,689038295040,4364,689052844032,689052831744,140726305414320,2137500,,,,,,,,,,,,,,,,,,
