timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:31.1408162Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before creating remote thread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:30.1682095Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[>]  After changing memory protection to PAGE_EXECUTE_READ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:30.1677255Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before changing memory protection to PAGE_EXECUTE_READ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:29.1943682Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[>]  After writing shellcode to process, at: 0000010DB9FC0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:29.1939322Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before writing shellcode to process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:28.2203727Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[>]  After allocating memory for shellcode, at: 0000010DB9FC0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:28.2198645Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before allocating memory for shellcode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:27.2466526Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[>]  After opening process handle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:27.2461604Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before opening process handle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-01-01 00:00:00.000000000Z","2025-10-26 18:58:25.6314739Z","myETW","Attack-Provider",1337,"Attack-Provider"," 9520 attack.exe",,,,,,"[<] Before starting subprocess to inject to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
