timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-26 19:55:20.6001239Z","2025-10-26 19:55:20.6001239Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 1340 svchost.exe",11788,,," 1340 svchost.exe",,,,,,,,,,,,,18446742479309905920,18446742479309881344,140726660193216,163,586653712384,11012,586656251904,586656219136,140726660193216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:20.6926930Z","2025-10-26 19:55:20.6926930Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7704 TimelineExplorer.exe",2532,,," 7704 TimelineExplorer.exe",,,,,,,,,,,,2625040,18446742479285764096,18446742479285739520,140724338239952,0,458699448320,2532,458704289792,458704281600,140724338239952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:20.6934551Z","2025-10-26 19:55:20.6934551Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 7704 TimelineExplorer.exe",2368,,," 7704 TimelineExplorer.exe",,,,,,,,,,,,,18446742479309963264,18446742479309938688,140724339386192,0,458699464704,7628,458702716928,458702712832,140724339386192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:20.6935829Z","2025-10-26 19:55:20.6935829Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7704 TimelineExplorer.exe",2368,,," 7704 TimelineExplorer.exe",,,,,,,,,,,,1763960,18446742479301275648,18446742479301251072,140724338239952,0,458699456512,2368,458705862656,458705854464,140724338239952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:21.0256909Z","2025-10-26 19:55:21.0256909Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4416 powershell.exe",3512,,," 4416 powershell.exe",,,,,,,,,,,,1766240,18446742479301619712,18446742479301595136,140725400723184,0,156947677184,3512,156945874944,156945866752,140725400723184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:21.0257162Z","2025-10-26 19:55:21.0257162Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4416 powershell.exe",5832,,," 4416 powershell.exe",,,,,,,,,,,,630040,18446742479301705728,18446742479301681152,140725400723184,0,156947693568,5832,156946661376,156946649088,140725400723184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:21.4552950Z","2025-10-26 19:55:21.4552950Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 1928 devenv.exe",11304,,," 1928 devenv.exe",,,,,,,,,,,,,18446742479303028736,18446742479303004160,140726660193216,0,295702216704,6720,295704723456,295704715264,140726660193216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:21.4714032Z","2025-10-26 19:55:21.4714032Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6180 SearchHost.exe",9964,,," 6180 SearchHost.exe",,,,,,,,,,,,,18446742479301275648,18446742479301251072,140726660193216,0,971404689408,9424,971409195008,971409190912,140726660193216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.0473214Z","2025-10-26 19:55:22.0473214Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6180 SearchHost.exe",1156,,," 6180 SearchHost.exe",,,,,,,,,,,,18459640,18446742479344803840,18446742479344779264,140726225739632,0,971404591104,1156,971408146432,971408080896,140726225739632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.0802441Z","2025-10-26 19:55:22.0802441Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3100 ServiceHub.VSDetouredHost.exe",4684,,," 3100 ServiceHub.VSDetouredHost.exe",,,,,,,,,,,,11684620,18446742479308017664,18446742479307993088,140725104906720,0,248953192448,4684,248969166848,248969146368,140725104906720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.0948585Z","2025-10-26 19:55:22.0948585Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10824 ServiceHub.Host.dotnet.x64.exe",10616,,,"10824 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,1877200,18446742479308386304,18446742479308361728,140725104906720,0,221658996736,10616,221676306432,221676290048,140725104906720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.142803700Z","2025-10-26 19:55:22.1428071Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8964 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.400874100Z","2025-10-26 19:55:22.4008783Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8964 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.656310300Z","2025-10-26 19:55:22.6563141Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8964 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:22.911426000Z","2025-10-26 19:55:22.9114305Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8964 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.1805555Z","2025-10-26 19:55:23.1805555Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart "," 8964 EDRi.exe",6016,,,"  684 EDRSandblast.exe",,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\EDRSandblast.exe",,,,,,,,,,,,,,,,,,,,,0,,1760293221,134059821231804740,0,"0x","","",8964,3422,3423,2,1,0,1,,,,,,,,,,,,
"2025-10-26 19:55:23.1829298Z","2025-10-26 19:55:23.1829298Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8964 EDRi.exe",6016,,,"  684 EDRSandblast.exe",,,,,,,,,,,,,18446742479308017664,18446742479307993088,140699106337840,0,266830135296,3644,266828316672,266828312576,140699106337840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.1857895Z","2025-10-26 19:55:23.1857895Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\tools\EDRSandblast.exe",,,,,,,,,,,,,,,,,,,140699106279424,140699106279424,0,393216,1760293221,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.1858847Z","2025-10-26 19:55:23.1858847Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,140726659710976,140726659710976,2538757,2523136,592187216,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.2035728Z","2025-10-26 19:55:23.2035728Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,140726643261440,140726643261440,844151,823296,1746094868,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.2037405Z","2025-10-26 19:55:23.2037405Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,140726613835776,140726613835776,4201576,4136960,1981517683,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.2056946Z","2025-10-26 19:55:23.2056946Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,,,,,,,,,,,18446742479316389888,18446742479316365312,140726660193216,0,266830143488,3988,266832183296,266832179200,140726660193216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.2058154Z","2025-10-26 19:55:23.2058154Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","  684 EDRSandblast.exe",3644,,,"  684 EDRSandblast.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,,,,140726633693184,140726633693184,465416,401408,960017527,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-26 19:55:23.2058654Z","2025-10-26 19:55:23.2058654Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","  684 EDRSandblast.exe",3988,,,"  684 EDRSandblast.exe",,,,,,,,,,,,,18446742479316185088,18446742479316160512,140726660193216,0,266830151680,10852,266833231872,266833227776,140726660193216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
