timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,engineid,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,accessmask,washardened,featureid,data,startstop,threadtime,deltacpu,deltawall,startqpc,channel,eventid,cycletime,id,process,reason,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 10:43:07.5732020Z","2025-11-10 10:43:07.5732020Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 3788 MsMpEng.exe",5636,,,,,,"C:\ProgramData\Microsoft\Windows Defender\Scans\History\Store\531AF6D6551F0E7C9953E2F3BB0E5770",,,,,,,,,,1762771387573202000,0,33685600,18446646812168498144,18446646812110168312,5636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:07.5732556Z","2025-11-10 10:43:07.5732556Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 3788 MsMpEng.exe",5636,,,,,,"C:\ProgramData\Microsoft\Windows Defender\Scans\History\Store\531AF6D6551F0E7C9953E2F3BB0E5770",,,,,,,,,,1762771387573255600,,,,,,,18446603905790462032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:07.826107900Z","2025-11-10 10:43:07.8261161Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 5360 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,1762771387826116100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1036341Z","2025-11-10 10:43:09.1036341Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStart Start "," 5360 EDRi.exe",5436,,," 2752 attack-458.exe",,,"C:\Users\Public\Downloads\attack-458.exe",,,,,,,,,,1762771389103634100,,,,,,,,,,,,,,,,,,,,,,134072449891034338,0,0,"0x","","",5360,1040,1048,1,1,0,0,1762770744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1077789Z","2025-11-10 10:43:09.1077789Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 3788 MsMpEng.exe",5636,,,,,,"C:\Users\Public\Downloads\attack-458.exe",,"0x8002",,,,,,,,1762771389107778900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56,187668,2939974368,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1078610Z","2025-11-10 10:43:09.1078610Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 3788 MsMpEng.exe",5636,,,,,,"C:\Users\Public\Downloads\attack-458.exe",,"0x8002",,,,,,,,1762771389107861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,187668,2939974368,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1079207Z","2025-11-10 10:43:09.1079207Z","ETW","Microsoft-Antimalware-Engine",36,"Cache  MOACLookup"," 3788 MsMpEng.exe",5636,,,,,,"C:\Users\Public\Downloads\attack-458.exe",,"0x8002",,,,,,,,1762771389107920700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,56,187668,2939974368,"",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1079714Z","2025-11-10 10:43:09.1079714Z","ETW","Microsoft-Antimalware-Engine",38,"Cache  CacheLookup"," 3788 MsMpEng.exe",5636,,,,,,"C:\Users\Public\Downloads\attack-458.exe","USN Cache","MISS",,,,,,,,1762771389107971400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1081765Z","2025-11-10 10:43:09.1081765Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 3788 MsMpEng.exe",5636,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389108176500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1081819Z","2025-11-10 10:43:09.1081819Z","ETW","Microsoft-Antimalware-Engine",73,"Behavior Monitoring  ProcessMonitorFlags"," 3788 MsMpEng.exe",5636,," 2752 attack-458.exe",,,,"C:\Users\Public\Downloads\attack-458.exe",,,,,,,,,,1762771389108181900,,,,,,,,,,,,,,,,,,,,,,,"0x400003FF",,,,,,,,,,,,,,,,,,,,,134072449891034338,140704165003264,"0x0","0x44","0x0","0x0","0x0","SyncStart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1085756Z","2025-11-10 10:43:09.1085756Z","ETW","Microsoft-Antimalware-Engine",70,"Behavior Monitoring  BmProcessCreate"," 3788 MsMpEng.exe",4800," 5360 EDRi.exe"," 2752 attack-458.exe",,,,"C:\Users\Public\Downloads\attack-458.exe",,,,,,,"'C:\Users\Public\Downloads\attack-458.exe' ",,,1762771389108575600,,,,,,,,,,,,,,,,,,,,,,,33554432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1087622Z","2025-11-10 10:43:09.1087622Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 3788 MsMpEng.exe",4800,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389108762200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1091262Z","2025-11-10 10:43:09.1091262Z","ETW","Microsoft-Antimalware-Engine",109,"Behavior Monitoring  BmProcessContextStart"," 3788 MsMpEng.exe",4800,," 2752 attack-458.exe",,,,,,,,,,,,,,1762771389109126200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\Public\Downloads\attack-458.exe",2183800738656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1094476Z","2025-11-10 10:43:09.1094476Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 5360 EDRi.exe",5436,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389109447600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18446685274674495488,18446685274674466816,140699334694224,0,220432433152,576,220434792448,220434788352,140699334694224,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1096093Z","2025-11-10 10:43:09.1096093Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",5128,," 5360 EDRi.exe"," 2752 attack-458.exe",,,,,,,,,,,,,1762771389109609300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1111278Z","2025-11-10 10:43:09.1111278Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",676,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389111127800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1122630Z","2025-11-10 10:43:09.1122630Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess","  724 csrss.exe",1416,,," 2752 attack-458.exe",,,,,,,,,,,,,1762771389112263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1122771Z","2025-11-10 10:43:09.1122771Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"PsOpenThread","  724 csrss.exe",1416,,," 2752 attack-458.exe",576,,,,,,,,,,,,1762771389112277100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1123059Z","2025-11-10 10:43:09.1123059Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",5044,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389112305900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1134067Z","2025-11-10 10:43:09.1134067Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",5044,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389113406700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:09.1138842Z","2025-11-10 10:43:09.1138842Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring  BmInternal"," 3788 MsMpEng.exe",4800,," 2752 attack-458.exe",,,,,,,,,,,,"Parent","n/a",1762771389113884200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
