timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,cycletime,accessmask,washardened,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,engineid,first resource path,first resource type,id,resource count,scan source,threadtime,type,startqpc,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,classification,eventtype,fileid,fileusn,info,scansource,desiredaccess,returncode,creationtime,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,imagepath,processcontextid,featureid,defaultbase,imagebase,imagesize,data,startstop,deltacpu,deltawall,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,actionstatus,allsigseqs,allsigshas,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scantype,sha1,sha256,threatname,vpath,channel,eventid,processimagepath,taintreason,process,reason,scanreason,scanresult,level,stopreason,triggersigseq,guid,signatureid
"2025-11-10 10:43:00.0056669Z","2025-11-10 10:43:00.0056669Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1436 svchost.exe",1512,,," 1436 svchost.exe",,,,,,,,,,,,,18446685274664140800,18446685274664112128,140704854531008,195,769485258752,6412,1762771380005666900,769488584704,769488551936,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.0059770Z","2025-11-10 10:43:00.0059770Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",6596,," 1172 svchost.exe"," 1436 svchost.exe",,,,,,,,,,,,,,,,,,,1762771380005977000,,,,,,,,,,,,,,,64,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.0065512Z","2025-11-10 10:43:00.0065512Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring  BmOpenProcess"," 3788 MsMpEng.exe",6596,," 1172 svchost.exe"," 1436 svchost.exe",,,,,,,,,,,,,,,,,,,1762771380006551200,,,,,,,,,,,,,,,64,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.3244786Z","2025-11-10 10:43:00.3244786Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3696 svchost.exe",3536,,," 3696 svchost.exe",,,,,,,,,,,,,18446685274670006272,18446685274669977600,140704504762784,253,858827702272,3536,1762771380324478600,858829881344,858829848576,140704504762784,,,,,,,,,,,722850487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.3246361Z","2025-11-10 10:43:00.3246361Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3696 svchost.exe",2812,,," 3696 svchost.exe",,,,,,,,,,,,,18446685274672627712,18446685274672599040,140704504762784,253,858827751424,2812,1762771380324636100,858835648512,858835615744,140704504762784,,,,,,,,,,,679854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.3246509Z","2025-11-10 10:43:00.3246509Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3696 svchost.exe",612,,," 3696 svchost.exe",,,,,,,,,,,,,18446685274669318144,18446685274669289472,140704504762784,253,858827743232,612,1762771380324650900,858832502784,858832470016,140704504762784,,,,,,,,,,,850253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.3403564Z","2025-11-10 10:43:00.3403564Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 3696 svchost.exe",3540,,," 3696 svchost.exe",,,,,,,,,,,,,18446685274670956544,18446685274670927872,140704504762784,253,858827718656,3540,1762771380340356400,858831454208,858831421440,140704504762784,,,,,,,,,,,48146173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.7652146Z","2025-11-10 10:43:00.7652146Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",72,,," 1288 svchost.exe",,,,,,,,,,,,,18446685274670956544,18446685274670927872,140704854531008,0,704196648960,6948,1762771380765214600,704200048640,704200015872,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:00.7656800Z","2025-11-10 10:43:00.7656800Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start ","    4 System",72,,," 6620 svchost.exe",,,,,,,,,,,,,18446685274672627712,18446685274672599040,140704854531008,0,168205066240,580,1762771380765680000,168203976704,168203943936,140704854531008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.6339179Z","2025-11-10 10:43:02.6339179Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4120 svchost.exe",6324,,," 4120 svchost.exe",,,,,,,,,,,,,18446685274656866304,18446685274656837632,140704854531008,0,390163869696,6324,1762771382633917900,390165168128,390165135360,140704854531008,,,,,,,,,,,4516261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 10:43:02.6339474Z","2025-11-10 10:43:02.6339474Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 4120 svchost.exe",4752,,," 4120 svchost.exe",,,,,,,,,,,,,18446685274667745280,18446685274667716608,140704854531008,0,390163886080,4752,1762771382633947400,390165692416,390165659648,140704854531008,,,,,,,,,,,3239870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
