timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,desiredaccess,returncode,data,startstop,threadtime,deltacpu,deltawall,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,id,process,reason,classification,eventtype,fileid,fileusn,info,scansource,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,integritylevel,processcontextid,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,accessmask,washardened,featureid,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,startqpc,processimagepath,taintreason,cycletime,channel,eventid,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,targetprocesscreationtime,targetprocessstartkey
"2025-09-05 14:14:01.1403233Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",11040,,,,,,,,,0,"Behavior:Win32/ExploitAttempt.ZA!dha","0x5BB3C187493B","9b9f35e3b87d39f15df8932701977e1f4f0409c6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1405197Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring "," 1912 MsMpEng.exe",3012,,"15992 attack.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16400,5923169,1,false,true,0,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1405584Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,""," 1912 MsMpEng.exe",3012,,,"15992 attack.exe",,,,,,,,,,,,,,,,5136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1411609Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring "," 1912 MsMpEng.exe",11040,,"12820 Notepad.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16401,0,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1466038Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",11040,,,,,,,,,0,"Behavior:Win32/NonStdSvchostProcess.A","0x19B3378537B0","a46a2542652cb8bc637538e84e4072ba74767f54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1503884Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",11040,,,,,,,,,0,"!BMGroup:DridexVulnDlls.A","0x195B3BF987774","01184f82067d771b42525bbf6c6541ec7a8114a3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1893883Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",17912,,,,,,,,,0,"Behavior:Win32/SuspDllSideLoaded.B","0x1A5B3D8FF6402","84db5fe770e0d0198f480427d1ce9babd9f03e0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1988238Z","ETW","Microsoft-Antimalware-Engine",3,"Message "," 1912 MsMpEng.exe",17912,,,,,"Lua IsKnownFriendly(c:\program files\windowsapps\microsoft.windowscalculator_11.2502.2.0_x64__8wekyb3d8bbwe\calcviewmodel.dll, UseCache: true, fSlowChecks: false) = true from 0x001822bdce6ab208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.1988395Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",17912,,,,,,,,,0,"Behavior:Win32/SuspDllSideLoaded.B","0x1A5B3D8FF6402","84db5fe770e0d0198f480427d1ce9babd9f03e0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 14:14:01.2022840Z","ETW","Microsoft-Antimalware-Engine",59,"Message "," 1912 MsMpEng.exe",17912,,,,,,,,,0,"Behavior:Win32/SuspDllSideLoaded.B","0x1A5B3D8FF6402","84db5fe770e0d0198f480427d1ce9babd9f03e0e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
