timestamp,type,provider_name,event_id,task,PID,PPID,Message,Command Line,FilePath,VName,Sig Seq,Sig Sha,AS Version,AV Version,Engine Version,stack_trace,Id,Path,Process,Reason,ThreadTime,BiggestOffsetWritten,CreationTime,FirstOffsetWritten,LastOffsetWritten,NumberOfWrites,ProcessId,SmallestOffsetWritten,TotalSizeOfAppends,TotalSizeOfWrites,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,action,key,result,vault,FeatureId,FirstParam,SecondParam,Classification,EventType,FileID,FileUSN,Info,Result,ScanSource,CacheName,Data,StartStop,DeltaCPU,DeltaWall,EngineId,Source,filepath,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,BasePath,CommandLine,Flags,IntegrityLevel,ParentPID,ImagePath,ProcessContextId,AccessMask,WasHardened,SigSeq,SigSha,ImageName,TTID,StartQPC,ProcessImagePath,ReasonImagePath,TaintReason,OldFileName,Count,TerminationTime,Channel,EventId,
"2025-08-24 10:33:13.179Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"query",8314265981392996026,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.180Z","ETW","Microsoft-Antimalware-Engine",5,"Stream scan request Start ",4294967295,,,,,,,,,,,[],815307705,"MemScanVfz-AMSI-18B43CE0-9A2A-4BF8-1686-435D74B3BBE9","PowerShell_C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe_10.0.26100.1",12,304687500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.180Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring BmInternal",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,21,"AmsiScan","n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.180Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16471,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.180Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16471,0,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.180Z","ETW","Microsoft-Antimalware-Engine",6,"Stream scan request Stop ",4294967295,,,,,,,,,,,[],815307705,"MemScanVfz-AMSI-18B43CE0-9A2A-4BF8-1686-435D74B3BBE9","PowerShell_C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe_10.0.26100.1",12,304687500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.182Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56,618283,1701628952,"","0x8002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.182Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,618283,1701628952,"","0x8002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.182Z","ETW","Microsoft-Antimalware-Engine",36,"Cache MOACLookup",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,128,56,618283,1701628952,"","0x8002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.182Z","ETW","Microsoft-Antimalware-Engine",38,"Cache CacheLookup",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISS",,"USN Cache",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",43,"ExpensiveOperationTaskExpensiveOperationBegin",1912,,"NRIOnForProcess",,,,,,,,,[],,,,,176250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",67,"ExpensiveOperationTaskExpensiveOperationEnd",1912,,"NRIOnForProcess",,,,,,,,,[],,,,,176250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",73,"Behavior Monitoring ProcessMonitorFlags",18596,,,,,,,,,,,[],,,,,,,134005051931825946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140732973121536,"SyncStart","C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\Injector.exe","0x400003FF","0x0","0x44","0x0","0x0","0x0",,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",70,"Behavior Monitoring BmProcessCreate",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\Injector.exe",""C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\Injector.exe" --no-wait",33554432,8192,2212,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",109,"Behavior Monitoring BmProcessContextStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\Injector.exe",2340865354080,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16400,725016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.183Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess",2212,18596,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16400,725016,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"query",13623044605528879322,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",104,"Behavior Monitoring BmInternal",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,35,"Parent","n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725017,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\Injector.exe",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",43,"ExpensiveOperationTaskExpensiveOperationBegin",1912,,"BM InitializeFriendlyStatus::IsKnownFriendly()",,,,,,,,,[],,,,,6093750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18596,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",67,"ExpensiveOperationTaskExpensiveOperationEnd",1912,,"BM InitializeFriendlyStatus::IsKnownFriendly()",,,,,,,,,[],,,,,6093750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18596,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16401,725016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.184Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.185Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess",2212,18596,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,
"2025-08-24 10:33:13.185Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.185Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",2212,,,,,,,,,,,[],,,,,,,,,,,,,,,16427,725020,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.185Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"query",14200961848238912743,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,,,,,"!#BMLowfiTrigger.A",,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"0xDBB39B890BFC","4dbf7bd615cfae8829011e03de200a1bc0bab7d3",,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",53,"Behavior Monitoring BmOpenProcess",8132,18596,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097151,false,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16401,725016,0,false,true,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"query",13623044605528879322,2147943568,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.186Z","ETW","Microsoft-Antimalware-Engine",44,"MetaStoreTaskMetaStoreAction",1912,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,"exists",4747128350595713166,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16407,725016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16407,725016,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16526,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16526,0,0,false,true,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725019,0,false,true,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-08-24 10:33:13.187Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",18596,,,,,,,,,,,[],,,,,,,,,,,,,,,16404,725021,0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
