timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,timestamp_ns,allocationtype,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,accessmask,washardened,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,engineid,first resource path,first resource type,flags,id,resource count,scan source,threadtime,type,devicename,devicenamelength,drivername,drivernamelength,startqpc,actionstatus,allsigseqs,allsigshas,classification,determination,enginereportguid,etwdatareporttype,extradatajson,islatent,ispassivemode,processcommandline,processcreationtime,processpath,realpath,reporttype,resourcedata,resourceschema,rtpprocesscreationtime,rtpprocessid,scansource,scantype,sha1,sha256,threatname,vpath,codeintegrityoption,desiredaccess,linksourcename,linktargetname,returncode,imagepath,foldername,biggestoffsetwritten,creationtime,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,eventtype,fileid,fileusn,info,scanreason,scanresult,level,stopreason,triggersigseq
"2025-11-03 08:19:39.7977632Z","2025-11-03 08:19:39.7977632Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1412 conhost.exe",5072,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979797763200,,18446603390464987136,18446603390464958464,140702456549072,0,183750471680,7272,183753506816,183753498624,140702456549072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.7978185Z","2025-11-03 08:19:39.7978185Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 1412 conhost.exe",5072,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979797818500,,18446603390464790528,18446603390464761856,140702456608608,0,183750447104,5072,183749705728,183749689344,140702456608608,18993786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8127470Z","2025-11-03 08:19:39.8127470Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 1412 conhost.exe",7272,,," 1412 conhost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979812747000,,18446603390464790528,18446603390464761856,140702456592224,0,183750479872,6148,183749705728,183749697536,140702456592224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8154338Z","2025-11-03 08:19:39.8154338Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979815433800,,18446603390465019904,18446603390464991232,140716128325904,0,705684090880,5788,705686405120,705686396928,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8192942Z","2025-11-03 08:19:39.8192942Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStart Start "," 6488 powershell.exe",5788,,," 6488 powershell.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762157979819294200,,18446603390465085440,18446603390465056768,140716128325904,0,705684099072,3708,705686929408,705686921216,140716128325904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8339548Z","2025-11-03 08:19:39.8339548Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619296190464,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"R-X",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157979833954800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8339614Z","2025-11-03 08:19:39.8339614Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619296190464,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157979833961400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8419782Z","2025-11-03 08:19:39.8419782Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619295404032,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"R-X",134055732271607885,5824,49,8,55,4222124650672877,"RW-",4096,134055732271607885,49,8,55,4222124650672877,1762157979841978200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8419847Z","2025-11-03 08:19:39.8419847Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 5824 MsMpEng.exe",3780,,," 5824 MsMpEng.exe",,,,,,,,,,,,,1619295404032,134055732271607885,5824,49,8,55,4222124650672877,134055732382842030,3780,"RW-",134055732271607885,5824,49,8,55,4222124650672877,"R-X",4096,134055732271607885,49,8,55,4222124650672877,1762157979841984700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-03 08:19:39.8514904Z","2025-11-03 08:19:39.8514904Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",7,"KERNEL_THREATINT_TASK_PROTECTVM "," 6488 powershell.exe",4724,,," 6488 powershell.exe",,,,,,,,,,,,,140715257946112,134066315796611846,6488,0,8,8,4222124650695297,134066315796611890,4724,"R-X",134066315796611846,6488,0,8,8,4222124650695297,"RWX",272,134066315796611846,0,8,8,4222124650695297,1762157979851490400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
