timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 08:22:48.2373443Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SecurityHealth\10.0.27840.1000-0\SecurityHealthAgent.dll",,,,,,,,,,,,,,,,,,,,,1462329,,,,,,,,,,,2337716190,140724526579712,140724526579712,1421312,,,,,,,,,,,,
"2025-09-19 08:22:48.2376444Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\shell32.dll",,,,,,,,,,,,,,,,,,,,,7734415,,,,,,,,,,,3127086255,140725924462592,140725924462592,7655424,,,,,,,,,,,,
"2025-09-19 08:22:48.2380139Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\WinTypes.dll",,,,,,,,,,,,,,,,,,,,,1568255,,,,,,,,,,,2497817283,140725896478720,140725896478720,1490944,,,,,,,,,,,,
"2025-09-19 08:22:48.2383093Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,,,,,,986194,,,,,,,,,,,4225820209,140725919219712,140725919219712,983040,,,,,,,,,,,,
"2025-09-19 08:22:48.2387551Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,,,771919,,,,,,,,,,,2638054253,140725942747136,140725942747136,737280,,,,,,,,,,,,
"2025-09-19 08:22:48.2393533Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",2392,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\netutils.dll",,,,,,,,,,,,,,,,,,,,,80696,,,,,,,,,,,865845000,140725870985216,140725870985216,53248,,,,,,,,,,,,
"2025-09-19 08:22:48.2393572Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6184 SecurityHealthHost.exe",6832,,," 6184 SecurityHealthHost.exe",,,,,,,,,,,,,18446656690324537344,18446656690324508672,140725944310960,0,14857220096,6728,14860943360,14860935168,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:48.2394382Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\netapi32.dll",,,,,,,,,,,,,,,,,,,,,142018,,,,,,,,,,,2053609766,140725654585344,140725654585344,106496,,,,,,,,,,,,
"2025-09-19 08:22:48.2399399Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",6832,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\ntmarta.dll",,,,,,,,,,,,,,,,,,,,,286201,,,,,,,,,,,2803059627,140725877014528,140725877014528,221184,,,,,,,,,,,,
"2025-09-19 08:22:48.2402139Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",2392,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\bcrypt.dll",,,,,,,,,,,,,,,,,,,,,193080,,,,,,,,,,,3065733166,140725893988352,140725893988352,155648,,,,,,,,,,,,
"2025-09-19 08:22:48.2402211Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\winhttp.dll",,,,,,,,,,,,,,,,,,,,,1232481,,,,,,,,,,,2037377925,140725779693568,140725779693568,1175552,,,,,,,,,,,,
"2025-09-19 08:22:48.2410550Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",2392,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\dsreg.dll",,,,,,,,,,,,,,,,,,,,,1530492,,,,,,,,,,,3922548289,140725815083008,140725815083008,1470464,,,,,,,,,,,,
"2025-09-19 08:22:48.2416184Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",2392,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\userenv.dll",,,,,,,,,,,,,,,,,,,,,247163,,,,,,,,,,,4021294584,140725882126336,140725882126336,176128,,,,,,,,,,,,
"2025-09-19 08:22:48.2419038Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",6728,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\dpapi.dll",,,,,,,,,,,,,,,,,,,,,42814,,,,,,,,,,,2473566603,140725890973696,140725890973696,40960,,,,,,,,,,,,
"2025-09-19 08:22:48.2441705Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SecurityHealthUdk.dll",,,,,,,,,,,,,,,,,,,,,329657,,,,,,,,,,,164658954,140725529542656,140725529542656,266240,,,,,,,,,,,,
"2025-09-19 08:22:48.2476596Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 3952 WerFault.exe",6588,,," 3952 WerFault.exe",,,"\Device\HarddiskVolume3\Windows\System32\fcon.dll",,,,,,,,,,,,,,,,,,,,,850247,,,,,,,,,,,3664538040,140725533409280,140725533409280,798720,,,,,,,,,,,,
